"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2018","3","10","00:00","0.9"
"Helsinki Kumpula","2018","3","11","00:00","1.6"
"Helsinki Kumpula","2018","3","12","00:00","9.3"
"Helsinki Kumpula","2018","3","13","00:00","1.2"
"Helsinki Kumpula","2018","3","14","00:00","22.3"
"Helsinki Kumpula","2018","3","15","00:00","313.5"
"Helsinki Kumpula","2018","3","16","00:00","341.7"
"Helsinki Kumpula","2018","3","17","00:00","294.6"
"Helsinki Kumpula","2018","3","18","00:00","114.7"
"Helsinki Kumpula","2018","3","19","00:00","50.2"
"Helsinki Kumpula","2018","3","20","00:00","61.9"
"Helsinki Kumpula","2018","3","21","00:00","152.4"
"Helsinki Kumpula","2018","3","22","00:00","8"
"Helsinki Kumpula","2018","3","23","00:00","161.9"
"Helsinki Kumpula","2018","3","24","00:00","16.8"
"Helsinki Kumpula","2018","3","25","00:00","149.9"
"Helsinki Kumpula","2018","3","26","00:00","350.5"
"Helsinki Kumpula","2018","3","27","00:00","227.7"
"Helsinki Kumpula","2018","3","28","00:00","161.5"
"Helsinki Kumpula","2018","3","29","00:00","389.6"
"Helsinki Kumpula","2018","3","30","00:00","421.1"
"Helsinki Kumpula","2018","3","31","00:00","401.7"
"Helsinki Kumpula","2018","4","1","00:00","60.5"
"Helsinki Kumpula","2018","4","2","00:00","0.7"
"Helsinki Kumpula","2018","4","3","00:00","329"
"Helsinki Kumpula","2018","4","4","00:00","135"
"Helsinki Kumpula","2018","4","5","00:00","8.3"
"Helsinki Kumpula","2018","4","6","00:00","121.6"
"Helsinki Kumpula","2018","4","7","00:00","267.3"
"Helsinki Kumpula","2018","4","8","00:00","41.1"
"Helsinki Kumpula","2018","4","9","00:00","280.3"
"Helsinki Kumpula","2018","4","10","00:00","321.6"
"Helsinki Kumpula","2018","4","11","00:00","434.2"
"Helsinki Kumpula","2018","4","12","00:00","327.6"
"Helsinki Kumpula","2018","4","13","00:00","428.4"
"Helsinki Kumpula","2018","4","14","00:00","420.5"
"Helsinki Kumpula","2018","4","15","00:00","69.4"
"Helsinki Kumpula","2018","4","16","00:00","28.4"
"Helsinki Kumpula","2018","4","17","00:00","25.9"
"Helsinki Kumpula","2018","4","18","00:00","86.3"
"Helsinki Kumpula","2018","4","19","00:00","289"
"Helsinki Kumpula","2018","4","20","00:00","171.2"
"Helsinki Kumpula","2018","4","21","00:00","159.3"
"Helsinki Kumpula","2018","4","22","00:00","1.5"
"Helsinki Kumpula","2018","4","23","00:00","231.4"
"Helsinki Kumpula","2018","4","24","00:00","1.7"
"Helsinki Kumpula","2018","4","25","00:00","115.3"
"Helsinki Kumpula","2018","4","26","00:00","211.2"
"Helsinki Kumpula","2018","4","27","00:00","190"
"Helsinki Kumpula","2018","4","28","00:00","192.2"
"Helsinki Kumpula","2018","4","29","00:00","7.5"
"Helsinki Kumpula","2018","4","30","00:00","267.1"
"Helsinki Kumpula","2018","5","1","00:00","0.4"
"Helsinki Kumpula","2018","5","2","00:00","34.6"
"Helsinki Kumpula","2018","5","3","00:00","119.3"
"Helsinki Kumpula","2018","5","4","00:00","165.5"
"Helsinki Kumpula","2018","5","5","00:00","350.4"
"Helsinki Kumpula","2018","5","6","00:00","425.1"
"Helsinki Kumpula","2018","5","7","00:00","467"
"Helsinki Kumpula","2018","5","8","00:00","408.2"
"Helsinki Kumpula","2018","5","9","00:00","515.1"
"Helsinki Kumpula","2018","5","10","00:00","510.4"
"Helsinki Kumpula","2018","5","11","00:00","507.7"
"Helsinki Kumpula","2018","5","12","00:00","484.8"
"Helsinki Kumpula","2018","5","13","00:00","495.8"
"Helsinki Kumpula","2018","5","14","00:00","458.3"
"Helsinki Kumpula","2018","5","15","00:00","429.2"
"Helsinki Kumpula","2018","5","16","00:00","342.4"
"Helsinki Kumpula","2018","5","17","00:00","377.6"
"Helsinki Kumpula","2018","5","18","00:00","125.9"
"Helsinki Kumpula","2018","5","19","00:00","483.3"
"Helsinki Kumpula","2018","5","20","00:00","311.1"
"Helsinki Kumpula","2018","5","21","00:00","524.5"
"Helsinki Kumpula","2018","5","22","00:00","353.8"
"Helsinki Kumpula","2018","5","23","00:00","199.3"
"Helsinki Kumpula","2018","5","24","00:00","466.7"
"Helsinki Kumpula","2018","5","25","00:00","516.5"
"Helsinki Kumpula","2018","5","26","00:00","492.3"
"Helsinki Kumpula","2018","5","27","00:00","293.8"
"Helsinki Kumpula","2018","5","28","00:00","548.8"
"Helsinki Kumpula","2018","5","29","00:00","514.1"
"Helsinki Kumpula","2018","5","30","00:00","461.1"
"Helsinki Kumpula","2018","5","31","00:00","536"
"Helsinki Kumpula","2018","6","1","00:00","395.6"
"Helsinki Kumpula","2018","6","2","00:00","359.9"
"Helsinki Kumpula","2018","6","3","00:00","456.8"
"Helsinki Kumpula","2018","6","4","00:00","270"
"Helsinki Kumpula","2018","6","5","00:00","211"
"Helsinki Kumpula","2018","6","6","00:00","105.4"
"Helsinki Kumpula","2018","6","7","00:00","207.7"
"Helsinki Kumpula","2018","6","8","00:00","384.7"
"Helsinki Kumpula","2018","6","9","00:00","340.9"
"Helsinki Kumpula","2018","6","10","00:00","356.3"
"Helsinki Kumpula","2018","6","11","00:00","243.6"
"Helsinki Kumpula","2018","6","12","00:00","235.5"
"Helsinki Kumpula","2018","6","13","00:00","348.4"
"Helsinki Kumpula","2018","6","14","00:00","415.5"
"Helsinki Kumpula","2018","6","15","00:00","177.4"
"Helsinki Kumpula","2018","6","16","00:00","519.1"
"Helsinki Kumpula","2018","6","17","00:00","423.4"
"Helsinki Kumpula","2018","6","18","00:00","254.8"
"Helsinki Kumpula","2018","6","19","00:00","99.6"
"Helsinki Kumpula","2018","6","20","00:00","353.3"
"Helsinki Kumpula","2018","6","21","00:00","131.7"
"Helsinki Kumpula","2018","6","22","00:00","68.7"
"Helsinki Kumpula","2018","6","23","00:00","541.4"
"Helsinki Kumpula","2018","6","24","00:00","80"
"Helsinki Kumpula","2018","6","25","00:00","228.8"
"Helsinki Kumpula","2018","6","26","00:00","357.8"
"Helsinki Kumpula","2018","6","27","00:00","411.8"
"Helsinki Kumpula","2018","6","28","00:00","476.1"
"Helsinki Kumpula","2018","6","29","00:00","48.4"
"Helsinki Kumpula","2018","6","30","00:00","287.2"
"Helsinki Kumpula","2018","7","1","00:00","533.5"
"Helsinki Kumpula","2018","7","2","00:00","5"
"Helsinki Kumpula","2018","7","3","00:00","0.4"
"Helsinki Kumpula","2018","7","4","00:00","278.5"
"Helsinki Kumpula","2018","7","5","00:00","124.1"
"Helsinki Kumpula","2018","7","6","00:00","100.8"
"Helsinki Kumpula","2018","7","7","00:00","415.3"
"Helsinki Kumpula","2018","7","8","00:00","165.6"
"Helsinki Kumpula","2018","7","9","00:00","186.3"
"Helsinki Kumpula","2018","7","10","00:00","60.1"
"Helsinki Kumpula","2018","7","11","00:00","183.7"
"Helsinki Kumpula","2018","7","12","00:00","232.6"
"Helsinki Kumpula","2018","7","13","00:00","251"
"Helsinki Kumpula","2018","7","14","00:00","390.2"
"Helsinki Kumpula","2018","7","15","00:00","440.8"
"Helsinki Kumpula","2018","7","16","00:00","434.1"
"Helsinki Kumpula","2018","7","17","00:00","455.3"
"Helsinki Kumpula","2018","7","18","00:00","472.3"
"Helsinki Kumpula","2018","7","19","00:00","390"
"Helsinki Kumpula","2018","7","20","00:00","37.5"
"Helsinki Kumpula","2018","7","21","00:00","238.4"
"Helsinki Kumpula","2018","7","22","00:00","425.8"
"Helsinki Kumpula","2018","7","23","00:00","430.5"
"Helsinki Kumpula","2018","7","24","00:00","363.8"
"Helsinki Kumpula","2018","7","25","00:00","438.9"
"Helsinki Kumpula","2018","7","26","00:00","354.8"
"Helsinki Kumpula","2018","7","27","00:00","378.8"
"Helsinki Kumpula","2018","7","28","00:00","210.3"
"Helsinki Kumpula","2018","7","29","00:00","138.2"
"Helsinki Kumpula","2018","7","30","00:00","343.5"
"Helsinki Kumpula","2018","7","31","00:00","335.5"
"Helsinki Kumpula","2018","8","1","00:00","359.8"
"Helsinki Kumpula","2018","8","2","00:00","329.3"
"Helsinki Kumpula","2018","8","3","00:00","266.8"
"Helsinki Kumpula","2018","8","4","00:00","186.8"
"Helsinki Kumpula","2018","8","5","00:00","209.6"
"Helsinki Kumpula","2018","8","6","00:00","312.7"
"Helsinki Kumpula","2018","8","7","00:00","246.3"
"Helsinki Kumpula","2018","8","8","00:00","443.6"
"Helsinki Kumpula","2018","8","9","00:00","223.2"
"Helsinki Kumpula","2018","8","10","00:00","192.9"
"Helsinki Kumpula","2018","8","11","00:00","300.7"
"Helsinki Kumpula","2018","8","12","00:00","79.4"
"Helsinki Kumpula","2018","8","13","00:00","198.8"
"Helsinki Kumpula","2018","8","14","00:00","298.3"
"Helsinki Kumpula","2018","8","15","00:00","35.4"
"Helsinki Kumpula","2018","8","16","00:00","321"
"Helsinki Kumpula","2018","8","17","00:00","356.7"
"Helsinki Kumpula","2018","8","18","00:00","155.6"
"Helsinki Kumpula","2018","8","19","00:00","170.1"
"Helsinki Kumpula","2018","8","20","00:00","47.2"
"Helsinki Kumpula","2018","8","21","00:00","372.1"
"Helsinki Kumpula","2018","8","22","00:00","358.9"
"Helsinki Kumpula","2018","8","23","00:00","66.2"
"Helsinki Kumpula","2018","8","24","00:00","210.4"
"Helsinki Kumpula","2018","8","25","00:00","32.4"
"Helsinki Kumpula","2018","8","26","00:00","17.1"
"Helsinki Kumpula","2018","8","27","00:00","182.5"
"Helsinki Kumpula","2018","8","28","00:00","3.8"
"Helsinki Kumpula","2018","8","29","00:00","273.6"
"Helsinki Kumpula","2018","8","30","00:00","2.3"
"Helsinki Kumpula","2018","8","31","00:00","39.5"
"Helsinki Kumpula","2018","9","1","00:00","4.2"
"Helsinki Kumpula","2018","9","2","00:00","103.2"
"Helsinki Kumpula","2018","9","3","00:00","297.6"
"Helsinki Kumpula","2018","9","4","00:00","0.7"
"Helsinki Kumpula","2018","9","5","00:00","19"
"Helsinki Kumpula","2018","9","6","00:00","136.6"
"Helsinki Kumpula","2018","9","7","00:00","74.7"
"Helsinki Kumpula","2018","9","8","00:00","94.5"
"Helsinki Kumpula","2018","9","9","00:00","16.8"
"Helsinki Kumpula","2018","9","10","00:00","13.1"
"Helsinki Kumpula","2018","9","11","00:00","2.9"
"Helsinki Kumpula","2018","9","12","00:00","127.1"
"Helsinki Kumpula","2018","9","13","00:00","280.9"
"Helsinki Kumpula","2018","9","14","00:00","80.4"
"Helsinki Kumpula","2018","9","15","00:00","9.9"
"Helsinki Kumpula","2018","9","16","00:00","323.1"
"Helsinki Kumpula","2018","9","17","00:00","3.8"
"Helsinki Kumpula","2018","9","18","00:00","54.1"
"Helsinki Kumpula","2018","9","19","00:00","265.4"
"Helsinki Kumpula","2018","9","20","00:00","92.5"
"Helsinki Kumpula","2018","9","21","00:00","54"
"Helsinki Kumpula","2018","9","22","00:00","65.9"
