"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2021","3","10","00:00","284.2"
"Helsinki Kumpula","2021","3","11","00:00","2.4"
"Helsinki Kumpula","2021","3","12","00:00","0.3"
"Helsinki Kumpula","2021","3","13","00:00","0.9"
"Helsinki Kumpula","2021","3","14","00:00","0.7"
"Helsinki Kumpula","2021","3","15","00:00","0.6"
"Helsinki Kumpula","2021","3","16","00:00","11.1"
"Helsinki Kumpula","2021","3","17","00:00","3.7"
"Helsinki Kumpula","2021","3","18","00:00","156.6"
"Helsinki Kumpula","2021","3","19","00:00","244.4"
"Helsinki Kumpula","2021","3","20","00:00","0.6"
"Helsinki Kumpula","2021","3","21","00:00","99.2"
"Helsinki Kumpula","2021","3","22","00:00","360.5"
"Helsinki Kumpula","2021","3","23","00:00","130.2"
"Helsinki Kumpula","2021","3","24","00:00","72.7"
"Helsinki Kumpula","2021","3","25","00:00","237.5"
"Helsinki Kumpula","2021","3","26","00:00","165.7"
"Helsinki Kumpula","2021","3","27","00:00","158.3"
"Helsinki Kumpula","2021","3","28","00:00","92.6"
"Helsinki Kumpula","2021","3","29","00:00","0.2"
"Helsinki Kumpula","2021","3","30","00:00","25.6"
"Helsinki Kumpula","2021","3","31","00:00","69.8"
"Helsinki Kumpula","2021","4","1","00:00","365.3"
"Helsinki Kumpula","2021","4","2","00:00","61.7"
"Helsinki Kumpula","2021","4","3","00:00","160.7"
"Helsinki Kumpula","2021","4","4","00:00","157"
"Helsinki Kumpula","2021","4","5","00:00","2.6"
"Helsinki Kumpula","2021","4","6","00:00","149.1"
"Helsinki Kumpula","2021","4","7","00:00","45.5"
"Helsinki Kumpula","2021","4","8","00:00","361.6"
"Helsinki Kumpula","2021","4","9","00:00","0.8"
"Helsinki Kumpula","2021","4","10","00:00","71"
"Helsinki Kumpula","2021","4","11","00:00","332"
"Helsinki Kumpula","2021","4","12","00:00","54.1"
"Helsinki Kumpula","2021","4","13","00:00","26.6"
"Helsinki Kumpula","2021","4","14","00:00","217.4"
"Helsinki Kumpula","2021","4","15","00:00","371"
"Helsinki Kumpula","2021","4","16","00:00","378.5"
"Helsinki Kumpula","2021","4","17","00:00","422.8"
"Helsinki Kumpula","2021","4","18","00:00","433.9"
"Helsinki Kumpula","2021","4","19","00:00","433.6"
"Helsinki Kumpula","2021","4","20","00:00","326.5"
"Helsinki Kumpula","2021","4","21","00:00","389.1"
"Helsinki Kumpula","2021","4","22","00:00","265.1"
"Helsinki Kumpula","2021","4","23","00:00","0.7"
"Helsinki Kumpula","2021","4","24","00:00","5"
"Helsinki Kumpula","2021","4","25","00:00","17.3"
"Helsinki Kumpula","2021","4","26","00:00","0.6"
"Helsinki Kumpula","2021","4","27","00:00","5.2"
"Helsinki Kumpula","2021","4","28","00:00","161.3"
"Helsinki Kumpula","2021","4","29","00:00","259.5"
"Helsinki Kumpula","2021","4","30","00:00","339"
"Helsinki Kumpula","2021","5","1","00:00","131.9"
"Helsinki Kumpula","2021","5","2","00:00","331.7"
"Helsinki Kumpula","2021","5","3","00:00","54.9"
"Helsinki Kumpula","2021","5","4","00:00","133.9"
"Helsinki Kumpula","2021","5","5","00:00","8.8"
"Helsinki Kumpula","2021","5","6","00:00","7.7"
"Helsinki Kumpula","2021","5","7","00:00","66.6"
"Helsinki Kumpula","2021","5","8","00:00","77.1"
"Helsinki Kumpula","2021","5","9","00:00","213.4"
"Helsinki Kumpula","2021","5","10","00:00","69.8"
"Helsinki Kumpula","2021","5","11","00:00","437.9"
"Helsinki Kumpula","2021","5","12","00:00","468.6"
"Helsinki Kumpula","2021","5","13","00:00","291.3"
"Helsinki Kumpula","2021","5","14","00:00","226.6"
"Helsinki Kumpula","2021","5","15","00:00","108.8"
"Helsinki Kumpula","2021","5","16","00:00","457.3"
"Helsinki Kumpula","2021","5","17","00:00","116.6"
"Helsinki Kumpula","2021","5","18","00:00","15"
"Helsinki Kumpula","2021","5","19","00:00","1.5"
"Helsinki Kumpula","2021","5","20","00:00","2.1"
"Helsinki Kumpula","2021","5","21","00:00","14.9"
"Helsinki Kumpula","2021","5","22","00:00","367"
"Helsinki Kumpula","2021","5","23","00:00","54.2"
"Helsinki Kumpula","2021","5","24","00:00","345"
"Helsinki Kumpula","2021","5","25","00:00","263.9"
"Helsinki Kumpula","2021","5","26","00:00","0.1"
"Helsinki Kumpula","2021","5","27","00:00","22"
"Helsinki Kumpula","2021","5","28","00:00","420.6"
"Helsinki Kumpula","2021","5","29","00:00","486.1"
"Helsinki Kumpula","2021","5","30","00:00","556.7"
"Helsinki Kumpula","2021","5","31","00:00","135.7"
"Helsinki Kumpula","2021","6","1","00:00","485.6"
"Helsinki Kumpula","2021","6","2","00:00","482.2"
"Helsinki Kumpula","2021","6","3","00:00","324.5"
"Helsinki Kumpula","2021","6","4","00:00","476.6"
"Helsinki Kumpula","2021","6","5","00:00","424.7"
"Helsinki Kumpula","2021","6","6","00:00","226.6"
"Helsinki Kumpula","2021","6","7","00:00","292.5"
"Helsinki Kumpula","2021","6","8","00:00","330.6"
"Helsinki Kumpula","2021","6","9","00:00","432.7"
"Helsinki Kumpula","2021","6","10","00:00","505.4"
"Helsinki Kumpula","2021","6","11","00:00","496.3"
"Helsinki Kumpula","2021","6","12","00:00","149.2"
"Helsinki Kumpula","2021","6","13","00:00","176.8"
"Helsinki Kumpula","2021","6","14","00:00","379.9"
"Helsinki Kumpula","2021","6","15","00:00","412.1"
"Helsinki Kumpula","2021","6","16","00:00","480"
"Helsinki Kumpula","2021","6","17","00:00","407.2"
"Helsinki Kumpula","2021","6","18","00:00","472.7"
"Helsinki Kumpula","2021","6","19","00:00","461.8"
"Helsinki Kumpula","2021","6","20","00:00","379.5"
"Helsinki Kumpula","2021","6","21","00:00","340.7"
"Helsinki Kumpula","2021","6","22","00:00","314.3"
"Helsinki Kumpula","2021","6","23","00:00","193"
"Helsinki Kumpula","2021","6","24","00:00","84.1"
"Helsinki Kumpula","2021","6","25","00:00","145.8"
"Helsinki Kumpula","2021","6","26","00:00","414.2"
"Helsinki Kumpula","2021","6","27","00:00","196.4"
"Helsinki Kumpula","2021","6","28","00:00","420.8"
"Helsinki Kumpula","2021","6","29","00:00","537.1"
"Helsinki Kumpula","2021","6","30","00:00","228.6"
"Helsinki Kumpula","2021","7","1","00:00","284.6"
"Helsinki Kumpula","2021","7","2","00:00","393.4"
"Helsinki Kumpula","2021","7","3","00:00","539.4"
"Helsinki Kumpula","2021","7","4","00:00","542.9"
"Helsinki Kumpula","2021","7","5","00:00","419.2"
"Helsinki Kumpula","2021","7","6","00:00","113.1"
"Helsinki Kumpula","2021","7","7","00:00","238.9"
"Helsinki Kumpula","2021","7","8","00:00","99.3"
"Helsinki Kumpula","2021","7","9","00:00","122.1"
"Helsinki Kumpula","2021","7","10","00:00","300.2"
"Helsinki Kumpula","2021","7","11","00:00","455.5"
"Helsinki Kumpula","2021","7","12","00:00","421.8"
"Helsinki Kumpula","2021","7","13","00:00","363.6"
"Helsinki Kumpula","2021","7","14","00:00","430.5"
"Helsinki Kumpula","2021","7","15","00:00","362.6"
"Helsinki Kumpula","2021","7","16","00:00","274.7"
"Helsinki Kumpula","2021","7","17","00:00","452.9"
"Helsinki Kumpula","2021","7","18","00:00","320.6"
"Helsinki Kumpula","2021","7","19","00:00","335.5"
"Helsinki Kumpula","2021","7","20","00:00","137"
"Helsinki Kumpula","2021","7","21","00:00","362.8"
"Helsinki Kumpula","2021","7","22","00:00","255.3"
"Helsinki Kumpula","2021","7","23","00:00","231.1"
"Helsinki Kumpula","2021","7","24","00:00","388.8"
"Helsinki Kumpula","2021","7","25","00:00","434.6"
"Helsinki Kumpula","2021","7","26","00:00","429.9"
"Helsinki Kumpula","2021","7","27","00:00","410.6"
"Helsinki Kumpula","2021","7","28","00:00","70.3"
"Helsinki Kumpula","2021","7","29","00:00","309.7"
"Helsinki Kumpula","2021","7","30","00:00","101.5"
"Helsinki Kumpula","2021","7","31","00:00","150.6"
"Helsinki Kumpula","2021","8","1","00:00","275"
"Helsinki Kumpula","2021","8","2","00:00","139.5"
"Helsinki Kumpula","2021","8","3","00:00","81.4"
"Helsinki Kumpula","2021","8","4","00:00","247.4"
"Helsinki Kumpula","2021","8","5","00:00","425.5"
"Helsinki Kumpula","2021","8","6","00:00","446.2"
"Helsinki Kumpula","2021","8","7","00:00","46.2"
"Helsinki Kumpula","2021","8","8","00:00","76.1"
"Helsinki Kumpula","2021","8","9","00:00","64.4"
"Helsinki Kumpula","2021","8","10","00:00","177.6"
"Helsinki Kumpula","2021","8","11","00:00","145.8"
"Helsinki Kumpula","2021","8","12","00:00","78.9"
"Helsinki Kumpula","2021","8","13","00:00","327.7"
"Helsinki Kumpula","2021","8","14","00:00","166.1"
"Helsinki Kumpula","2021","8","15","00:00","131.4"
"Helsinki Kumpula","2021","8","16","00:00","207.4"
"Helsinki Kumpula","2021","8","17","00:00","18.1"
"Helsinki Kumpula","2021","8","18","00:00","34.9"
"Helsinki Kumpula","2021","8","19","00:00","71.2"
"Helsinki Kumpula","2021","8","20","00:00","259.2"
"Helsinki Kumpula","2021","8","21","00:00","137.3"
"Helsinki Kumpula","2021","8","22","00:00","106.3"
"Helsinki Kumpula","2021","8","23","00:00","91.4"
"Helsinki Kumpula","2021","8","24","00:00","112.3"
"Helsinki Kumpula","2021","8","25","00:00","-0.1"
"Helsinki Kumpula","2021","8","26","00:00","0.5"
"Helsinki Kumpula","2021","8","27","00:00","0.2"
"Helsinki Kumpula","2021","8","28","00:00","83.9"
"Helsinki Kumpula","2021","8","29","00:00","118.1"
"Helsinki Kumpula","2021","8","30","00:00","324.2"
"Helsinki Kumpula","2021","8","31","00:00","337.7"
"Helsinki Kumpula","2021","9","1","00:00","256"
"Helsinki Kumpula","2021","9","2","00:00","199.9"
"Helsinki Kumpula","2021","9","3","00:00","201.3"
"Helsinki Kumpula","2021","9","4","00:00","258.6"
"Helsinki Kumpula","2021","9","5","00:00","107.4"
"Helsinki Kumpula","2021","9","6","00:00","87.8"
"Helsinki Kumpula","2021","9","7","00:00","34.7"
"Helsinki Kumpula","2021","9","8","00:00","27.3"
"Helsinki Kumpula","2021","9","9","00:00","141.1"
"Helsinki Kumpula","2021","9","10","00:00","319.1"
"Helsinki Kumpula","2021","9","11","00:00","1.4"
"Helsinki Kumpula","2021","9","12","00:00","0.2"
"Helsinki Kumpula","2021","9","13","00:00","213.8"
"Helsinki Kumpula","2021","9","14","00:00","209.7"
"Helsinki Kumpula","2021","9","15","00:00","114.9"
"Helsinki Kumpula","2021","9","16","00:00","78.9"
"Helsinki Kumpula","2021","9","17","00:00","68.1"
"Helsinki Kumpula","2021","9","18","00:00","35.4"
"Helsinki Kumpula","2021","9","19","00:00","43.1"
"Helsinki Kumpula","2021","9","20","00:00","87.1"
"Helsinki Kumpula","2021","9","21","00:00","28.8"
"Helsinki Kumpula","2021","9","22","00:00","185.4"
"Helsinki Kumpula","2021","9","23","00:00","13.9"
"Helsinki Kumpula","2021","9","24","00:00","0"
"Helsinki Kumpula","2021","9","25","00:00","24.2"
"Helsinki Kumpula","2021","9","26","00:00","327.7"
"Helsinki Kumpula","2021","9","27","00:00","303.2"
"Helsinki Kumpula","2021","9","28","00:00","14.5"
"Helsinki Kumpula","2021","9","29","00:00","0.1"
"Helsinki Kumpula","2021","9","30","00:00","7.6"
"Helsinki Kumpula","2021","10","1","00:00","0.3"
"Helsinki Kumpula","2021","10","2","00:00","86"
"Helsinki Kumpula","2021","10","3","00:00","180.5"
"Helsinki Kumpula","2021","10","4","00:00","77.7"
"Helsinki Kumpula","2021","10","5","00:00","0.2"
"Helsinki Kumpula","2021","10","6","00:00","78"
"Helsinki Kumpula","2021","10","7","00:00","25.9"
"Helsinki Kumpula","2021","10","8","00:00","4.3"
"Helsinki Kumpula","2021","10","9","00:00","0.8"
"Helsinki Kumpula","2021","10","10","00:00","0.4"
"Helsinki Kumpula","2021","10","11","00:00","25.9"
"Helsinki Kumpula","2021","10","12","00:00","19.5"
"Helsinki Kumpula","2021","10","13","00:00","18.5"
"Helsinki Kumpula","2021","10","14","00:00","117.2"
"Helsinki Kumpula","2021","10","15","00:00","-0.1"
"Helsinki Kumpula","2021","10","16","00:00","198.7"
"Helsinki Kumpula","2021","10","17","00:00","228.1"
"Helsinki Kumpula","2021","10","18","00:00","74"
"Helsinki Kumpula","2021","10","19","00:00","210.6"
"Helsinki Kumpula","2021","10","20","00:00","0.1"
"Helsinki Kumpula","2021","10","21","00:00","40.9"
"Helsinki Kumpula","2021","10","22","00:00","-0.1"
"Helsinki Kumpula","2021","10","23","00:00","3.5"
"Helsinki Kumpula","2021","10","24","00:00","37.1"
