"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2004","3","10","00:00","125.4"
"Sodankylä Tähtelä","2004","3","11","00:00","275.5"
"Sodankylä Tähtelä","2004","3","12","00:00","2.4"
"Sodankylä Tähtelä","2004","3","13","00:00","138.3"
"Sodankylä Tähtelä","2004","3","14","00:00","81.7"
"Sodankylä Tähtelä","2004","3","15","00:00","1.4"
"Sodankylä Tähtelä","2004","3","16","00:00","1.9"
"Sodankylä Tähtelä","2004","3","17","00:00","54.5"
"Sodankylä Tähtelä","2004","3","18","00:00","31.9"
"Sodankylä Tähtelä","2004","3","19","00:00","1.2"
"Sodankylä Tähtelä","2004","3","20","00:00","0.9"
"Sodankylä Tähtelä","2004","3","21","00:00","0.4"
"Sodankylä Tähtelä","2004","3","22","00:00","3.2"
"Sodankylä Tähtelä","2004","3","23","00:00","20.6"
"Sodankylä Tähtelä","2004","3","24","00:00","28"
"Sodankylä Tähtelä","2004","3","25","00:00","176"
"Sodankylä Tähtelä","2004","3","26","00:00","191.2"
"Sodankylä Tähtelä","2004","3","27","00:00","3.4"
"Sodankylä Tähtelä","2004","3","28","00:00","18.3"
"Sodankylä Tähtelä","2004","3","29","00:00","6"
"Sodankylä Tähtelä","2004","3","30","00:00","4.1"
"Sodankylä Tähtelä","2004","3","31","00:00","284.3"
"Sodankylä Tähtelä","2004","4","1","00:00","388.5"
"Sodankylä Tähtelä","2004","4","2","00:00","344.5"
"Sodankylä Tähtelä","2004","4","3","00:00","148.2"
"Sodankylä Tähtelä","2004","4","4","00:00","194"
"Sodankylä Tähtelä","2004","4","5","00:00","353.2"
"Sodankylä Tähtelä","2004","4","6","00:00","396.7"
"Sodankylä Tähtelä","2004","4","7","00:00","391.6"
"Sodankylä Tähtelä","2004","4","8","00:00","73.5"
"Sodankylä Tähtelä","2004","4","9","00:00","1.9"
"Sodankylä Tähtelä","2004","4","10","00:00","210.7"
"Sodankylä Tähtelä","2004","4","11","00:00","410.7"
"Sodankylä Tähtelä","2004","4","12","00:00","236"
"Sodankylä Tähtelä","2004","4","13","00:00","372.3"
"Sodankylä Tähtelä","2004","4","14","00:00","1.3"
"Sodankylä Tähtelä","2004","4","15","00:00","34.8"
"Sodankylä Tähtelä","2004","4","16","00:00","50.5"
"Sodankylä Tähtelä","2004","4","17","00:00","90.8"
"Sodankylä Tähtelä","2004","4","18","00:00","119.9"
"Sodankylä Tähtelä","2004","4","19","00:00","13.8"
"Sodankylä Tähtelä","2004","4","20","00:00","1.4"
"Sodankylä Tähtelä","2004","4","21","00:00","407.9"
"Sodankylä Tähtelä","2004","4","22","00:00","390.7"
"Sodankylä Tähtelä","2004","4","23","00:00","313.9"
"Sodankylä Tähtelä","2004","4","24","00:00","462"
"Sodankylä Tähtelä","2004","4","25","00:00","90.3"
"Sodankylä Tähtelä","2004","4","26","00:00","149.5"
"Sodankylä Tähtelä","2004","4","27","00:00","454.5"
"Sodankylä Tähtelä","2004","4","28","00:00","451.5"
"Sodankylä Tähtelä","2004","4","29","00:00","329.3"
"Sodankylä Tähtelä","2004","4","30","00:00","73.7"
"Sodankylä Tähtelä","2004","5","1","00:00","223.7"
"Sodankylä Tähtelä","2004","5","2","00:00","58.2"
"Sodankylä Tähtelä","2004","5","3","00:00","105.7"
"Sodankylä Tähtelä","2004","5","4","00:00","135.9"
"Sodankylä Tähtelä","2004","5","5","00:00","96.7"
"Sodankylä Tähtelä","2004","5","6","00:00","405.1"
"Sodankylä Tähtelä","2004","5","7","00:00","267.5"
"Sodankylä Tähtelä","2004","5","8","00:00","320.9"
"Sodankylä Tähtelä","2004","5","9","00:00","2.3"
"Sodankylä Tähtelä","2004","5","10","00:00","72.2"
"Sodankylä Tähtelä","2004","5","11","00:00","341.2"
"Sodankylä Tähtelä","2004","5","12","00:00","305"
"Sodankylä Tähtelä","2004","5","13","00:00","153.8"
"Sodankylä Tähtelä","2004","5","14","00:00","131.6"
"Sodankylä Tähtelä","2004","5","15","00:00","25.1"
"Sodankylä Tähtelä","2004","5","16","00:00","32.1"
"Sodankylä Tähtelä","2004","5","17","00:00","238.4"
"Sodankylä Tähtelä","2004","5","18","00:00","1.4"
"Sodankylä Tähtelä","2004","5","19","00:00","185.7"
"Sodankylä Tähtelä","2004","5","20","00:00","292"
"Sodankylä Tähtelä","2004","5","21","00:00","7.8"
"Sodankylä Tähtelä","2004","5","22","00:00","1.1"
"Sodankylä Tähtelä","2004","5","23","00:00","1.3"
"Sodankylä Tähtelä","2004","5","24","00:00","1.1"
"Sodankylä Tähtelä","2004","5","25","00:00","1.5"
"Sodankylä Tähtelä","2004","5","26","00:00","19"
"Sodankylä Tähtelä","2004","5","27","00:00","264.7"
"Sodankylä Tähtelä","2004","5","28","00:00","439.5"
"Sodankylä Tähtelä","2004","5","29","00:00","100.3"
"Sodankylä Tähtelä","2004","5","30","00:00","389.5"
"Sodankylä Tähtelä","2004","5","31","00:00","158.4"
"Sodankylä Tähtelä","2004","6","1","00:00","77.4"
"Sodankylä Tähtelä","2004","6","2","00:00","101.7"
"Sodankylä Tähtelä","2004","6","3","00:00","206.5"
"Sodankylä Tähtelä","2004","6","4","00:00","358.1"
"Sodankylä Tähtelä","2004","6","5","00:00","1.7"
"Sodankylä Tähtelä","2004","6","6","00:00","1.5"
"Sodankylä Tähtelä","2004","6","7","00:00","3.6"
"Sodankylä Tähtelä","2004","6","8","00:00","3.9"
"Sodankylä Tähtelä","2004","6","9","00:00","80"
"Sodankylä Tähtelä","2004","6","10","00:00","1.9"
"Sodankylä Tähtelä","2004","6","11","00:00","151.5"
"Sodankylä Tähtelä","2004","6","12","00:00","152.2"
"Sodankylä Tähtelä","2004","6","13","00:00","431.9"
"Sodankylä Tähtelä","2004","6","14","00:00","4.2"
"Sodankylä Tähtelä","2004","6","15","00:00","43.8"
"Sodankylä Tähtelä","2004","6","16","00:00","12.8"
"Sodankylä Tähtelä","2004","6","17","00:00","17.3"
"Sodankylä Tähtelä","2004","6","18","00:00","56.2"
"Sodankylä Tähtelä","2004","6","19","00:00","220.3"
"Sodankylä Tähtelä","2004","6","20","00:00","293.9"
"Sodankylä Tähtelä","2004","6","21","00:00","271.5"
"Sodankylä Tähtelä","2004","6","22","00:00","361.4"
"Sodankylä Tähtelä","2004","6","23","00:00","126.9"
"Sodankylä Tähtelä","2004","6","24","00:00","417.9"
"Sodankylä Tähtelä","2004","6","25","00:00","52.9"
"Sodankylä Tähtelä","2004","6","26","00:00","218.9"
"Sodankylä Tähtelä","2004","6","27","00:00","318.3"
"Sodankylä Tähtelä","2004","6","28","00:00","9.8"
"Sodankylä Tähtelä","2004","6","29","00:00","0.6"
"Sodankylä Tähtelä","2004","6","30","00:00","111.7"
"Sodankylä Tähtelä","2004","7","1","00:00","243.6"
"Sodankylä Tähtelä","2004","7","2","00:00","264.9"
"Sodankylä Tähtelä","2004","7","3","00:00","30.2"
"Sodankylä Tähtelä","2004","7","4","00:00","245.4"
"Sodankylä Tähtelä","2004","7","5","00:00","204.2"
"Sodankylä Tähtelä","2004","7","6","00:00","209"
"Sodankylä Tähtelä","2004","7","7","00:00","190.8"
"Sodankylä Tähtelä","2004","7","8","00:00","107.6"
"Sodankylä Tähtelä","2004","7","9","00:00","43.5"
"Sodankylä Tähtelä","2004","7","10","00:00","199.8"
"Sodankylä Tähtelä","2004","7","11","00:00","53"
"Sodankylä Tähtelä","2004","7","12","00:00","82.8"
"Sodankylä Tähtelä","2004","7","13","00:00","112.1"
"Sodankylä Tähtelä","2004","7","14","00:00","74.3"
"Sodankylä Tähtelä","2004","7","15","00:00","76.2"
"Sodankylä Tähtelä","2004","7","16","00:00","29.9"
"Sodankylä Tähtelä","2004","7","17","00:00","124.5"
"Sodankylä Tähtelä","2004","7","18","00:00","336.8"
"Sodankylä Tähtelä","2004","7","19","00:00","316.6"
"Sodankylä Tähtelä","2004","7","20","00:00","110.1"
"Sodankylä Tähtelä","2004","7","21","00:00","9"
"Sodankylä Tähtelä","2004","7","22","00:00","263.3"
"Sodankylä Tähtelä","2004","7","23","00:00","462.7"
"Sodankylä Tähtelä","2004","7","24","00:00","311.9"
"Sodankylä Tähtelä","2004","7","25","00:00","165.1"
"Sodankylä Tähtelä","2004","7","26","00:00","229.7"
"Sodankylä Tähtelä","2004","7","27","00:00","96.7"
"Sodankylä Tähtelä","2004","7","28","00:00","13.3"
"Sodankylä Tähtelä","2004","7","29","00:00","15.4"
"Sodankylä Tähtelä","2004","7","30","00:00","418.4"
"Sodankylä Tähtelä","2004","7","31","00:00","449"
"Sodankylä Tähtelä","2004","8","1","00:00","516.2"
"Sodankylä Tähtelä","2004","8","2","00:00","460.2"
"Sodankylä Tähtelä","2004","8","3","00:00","19.3"
"Sodankylä Tähtelä","2004","8","4","00:00","23.7"
"Sodankylä Tähtelä","2004","8","5","00:00","110"
"Sodankylä Tähtelä","2004","8","6","00:00","254.3"
"Sodankylä Tähtelä","2004","8","7","00:00","98.8"
"Sodankylä Tähtelä","2004","8","8","00:00","74.4"
"Sodankylä Tähtelä","2004","8","9","00:00","127.9"
"Sodankylä Tähtelä","2004","8","10","00:00","72.2"
"Sodankylä Tähtelä","2004","8","11","00:00","43"
"Sodankylä Tähtelä","2004","8","12","00:00","98.2"
"Sodankylä Tähtelä","2004","8","13","00:00","80.7"
"Sodankylä Tähtelä","2004","8","14","00:00","254.5"
"Sodankylä Tähtelä","2004","8","15","00:00","273.4"
"Sodankylä Tähtelä","2004","8","16","00:00","32.1"
"Sodankylä Tähtelä","2004","8","17","00:00","8.8"
"Sodankylä Tähtelä","2004","8","18","00:00","0.7"
"Sodankylä Tähtelä","2004","8","19","00:00","124.7"
"Sodankylä Tähtelä","2004","8","20","00:00","0.1"
"Sodankylä Tähtelä","2004","8","21","00:00","43.1"
"Sodankylä Tähtelä","2004","8","22","00:00","3.2"
