"Observation station","Year","Month","Day","Time [Local time]","UV index mean"
"Sotkamo Kuolaniemi","2011","3","11","00:00","0.1"
"Sotkamo Kuolaniemi","2011","3","12","00:00","0.2"
"Sotkamo Kuolaniemi","2011","3","13","00:00","0.2"
"Sotkamo Kuolaniemi","2011","3","14","00:00","0.1"
"Sotkamo Kuolaniemi","2011","3","15","00:00","0.2"
"Sotkamo Kuolaniemi","2011","3","16","00:00","0.3"
"Sotkamo Kuolaniemi","2011","3","17","00:00","0.3"
"Sotkamo Kuolaniemi","2011","3","18","00:00","0.2"
"Sotkamo Kuolaniemi","2011","3","19","00:00","0.2"
"Sotkamo Kuolaniemi","2011","3","20","00:00","0.2"
"Sotkamo Kuolaniemi","2011","3","21","00:00","0.2"
"Sotkamo Kuolaniemi","2011","3","22","00:00","0.2"
"Sotkamo Kuolaniemi","2011","3","23","00:00","0.2"
"Sotkamo Kuolaniemi","2011","3","24","00:00","0.3"
"Sotkamo Kuolaniemi","2011","3","25","00:00","0.3"
"Sotkamo Kuolaniemi","2011","3","26","00:00","0.5"
"Sotkamo Kuolaniemi","2011","3","27","00:00","0.5"
"Sotkamo Kuolaniemi","2011","3","28","00:00","0.3"
"Sotkamo Kuolaniemi","2011","3","29","00:00","0.5"
"Sotkamo Kuolaniemi","2011","3","30","00:00","0.5"
"Sotkamo Kuolaniemi","2011","3","31","00:00","0.6"
"Sotkamo Kuolaniemi","2011","4","1","00:00","0.5"
"Sotkamo Kuolaniemi","2011","4","2","00:00","0.3"
"Sotkamo Kuolaniemi","2011","4","3","00:00","0.2"
"Sotkamo Kuolaniemi","2011","4","4","00:00","0.2"
"Sotkamo Kuolaniemi","2011","4","5","00:00","0.4"
"Sotkamo Kuolaniemi","2011","4","6","00:00","0.2"
"Sotkamo Kuolaniemi","2011","4","7","00:00","0.3"
"Sotkamo Kuolaniemi","2011","4","8","00:00","0.2"
"Sotkamo Kuolaniemi","2011","4","9","00:00","0.3"
"Sotkamo Kuolaniemi","2011","4","10","00:00","0.4"
"Sotkamo Kuolaniemi","2011","4","11","00:00","0.4"
"Sotkamo Kuolaniemi","2011","4","12","00:00","0.5"
"Sotkamo Kuolaniemi","2011","4","13","00:00","0.6"
"Sotkamo Kuolaniemi","2011","4","14","00:00","-"
"-","2011","4","15","00:00","-"
"-","2011","4","16","00:00","-"
"-","2011","4","17","00:00","-"
"-","2011","4","18","00:00","-"
"Sotkamo Kuolaniemi","2011","4","19","00:00","0.6"
"Sotkamo Kuolaniemi","2011","4","20","00:00","0.3"
"Sotkamo Kuolaniemi","2011","4","21","00:00","0.4"
"Sotkamo Kuolaniemi","2011","4","22","00:00","0.5"
"Sotkamo Kuolaniemi","2011","4","23","00:00","0.7"
"Sotkamo Kuolaniemi","2011","4","24","00:00","0.6"
"Sotkamo Kuolaniemi","2011","4","25","00:00","0.7"
"Sotkamo Kuolaniemi","2011","4","26","00:00","0.6"
"Sotkamo Kuolaniemi","2011","4","27","00:00","0.7"
"Sotkamo Kuolaniemi","2011","4","28","00:00","0.7"
"Sotkamo Kuolaniemi","2011","4","29","00:00","0.6"
"Sotkamo Kuolaniemi","2011","4","30","00:00","0.4"
"Sotkamo Kuolaniemi","2011","5","1","00:00","0.5"
"Sotkamo Kuolaniemi","2011","5","2","00:00","0.4"
"Sotkamo Kuolaniemi","2011","5","3","00:00","0.4"
"Sotkamo Kuolaniemi","2011","5","4","00:00","0.7"
"Sotkamo Kuolaniemi","2011","5","5","00:00","0.2"
"Sotkamo Kuolaniemi","2011","5","6","00:00","0.6"
"Sotkamo Kuolaniemi","2011","5","7","00:00","0.8"
"Sotkamo Kuolaniemi","2011","5","8","00:00","0.9"
"Sotkamo Kuolaniemi","2011","5","9","00:00","0.8"
"Sotkamo Kuolaniemi","2011","5","10","00:00","1"
"Sotkamo Kuolaniemi","2011","5","11","00:00","1"
"Sotkamo Kuolaniemi","2011","5","12","00:00","1"
"Sotkamo Kuolaniemi","2011","5","13","00:00","1"
"Sotkamo Kuolaniemi","2011","5","14","00:00","0.9"
"Sotkamo Kuolaniemi","2011","5","15","00:00","1"
"Sotkamo Kuolaniemi","2011","5","16","00:00","0.4"
"Sotkamo Kuolaniemi","2011","5","17","00:00","0.6"
"Sotkamo Kuolaniemi","2011","5","18","00:00","0.3"
"Sotkamo Kuolaniemi","2011","5","19","00:00","0.4"
"Sotkamo Kuolaniemi","2011","5","20","00:00","0.8"
"Sotkamo Kuolaniemi","2011","5","21","00:00","0.8"
"Sotkamo Kuolaniemi","2011","5","22","00:00","1.1"
"Sotkamo Kuolaniemi","2011","5","23","00:00","1"
"Sotkamo Kuolaniemi","2011","5","24","00:00","0.9"
"Sotkamo Kuolaniemi","2011","5","25","00:00","0.6"
"Sotkamo Kuolaniemi","2011","5","26","00:00","0.6"
"Sotkamo Kuolaniemi","2011","5","27","00:00","1.1"
"Sotkamo Kuolaniemi","2011","5","28","00:00","0.6"
"Sotkamo Kuolaniemi","2011","5","29","00:00","0.5"
"Sotkamo Kuolaniemi","2011","5","30","00:00","0.7"
"Sotkamo Kuolaniemi","2011","5","31","00:00","1.1"
"Sotkamo Kuolaniemi","2011","6","1","00:00","1"
"Sotkamo Kuolaniemi","2011","6","2","00:00","0.7"
"Sotkamo Kuolaniemi","2011","6","3","00:00","1.2"
"Sotkamo Kuolaniemi","2011","6","4","00:00","1.4"
"Sotkamo Kuolaniemi","2011","6","5","00:00","1.2"
"Sotkamo Kuolaniemi","2011","6","6","00:00","1.3"
"Sotkamo Kuolaniemi","2011","6","7","00:00","1.2"
"Sotkamo Kuolaniemi","2011","6","8","00:00","1.4"
"Sotkamo Kuolaniemi","2011","6","9","00:00","1.4"
"Sotkamo Kuolaniemi","2011","6","10","00:00","1.5"
"Sotkamo Kuolaniemi","2011","6","11","00:00","1"
"Sotkamo Kuolaniemi","2011","6","12","00:00","0.5"
"Sotkamo Kuolaniemi","2011","6","13","00:00","1.4"
"Sotkamo Kuolaniemi","2011","6","14","00:00","1"
"Sotkamo Kuolaniemi","2011","6","15","00:00","1.5"
"Sotkamo Kuolaniemi","2011","6","16","00:00","1.3"
"Sotkamo Kuolaniemi","2011","6","17","00:00","0.8"
"Sotkamo Kuolaniemi","2011","6","18","00:00","0.5"
"Sotkamo Kuolaniemi","2011","6","19","00:00","-"
"-","2011","6","20","00:00","-"
"Sotkamo Kuolaniemi","2011","6","21","00:00","0.6"
"Sotkamo Kuolaniemi","2011","6","22","00:00","0.6"
"Sotkamo Kuolaniemi","2011","6","23","00:00","1.1"
"Sotkamo Kuolaniemi","2011","6","24","00:00","0.7"
"Sotkamo Kuolaniemi","2011","6","25","00:00","1"
"Sotkamo Kuolaniemi","2011","6","26","00:00","1.2"
"Sotkamo Kuolaniemi","2011","6","27","00:00","0.7"
"Sotkamo Kuolaniemi","2011","6","28","00:00","1.5"
"Sotkamo Kuolaniemi","2011","6","29","00:00","1.8"
"Sotkamo Kuolaniemi","2011","6","30","00:00","1.8"
"Sotkamo Kuolaniemi","2011","7","1","00:00","1.6"
"Sotkamo Kuolaniemi","2011","7","2","00:00","1.4"
"Sotkamo Kuolaniemi","2011","7","3","00:00","0.5"
"Sotkamo Kuolaniemi","2011","7","4","00:00","1.6"
"Sotkamo Kuolaniemi","2011","7","5","00:00","1.5"
"Sotkamo Kuolaniemi","2011","7","6","00:00","1.2"
"Sotkamo Kuolaniemi","2011","7","7","00:00","1.5"
