"Observation station","Year","Month","Day","Time [Local time]","UV index mean"
"Helsinki Kumpula","2023","3","10","00:00","0.2"
"Helsinki Kumpula","2023","3","11","00:00","0.1"
"Helsinki Kumpula","2023","3","12","00:00","0.3"
"Helsinki Kumpula","2023","3","13","00:00","0.3"
"Helsinki Kumpula","2023","3","14","00:00","0.1"
"Helsinki Kumpula","2023","3","15","00:00","0.3"
"Helsinki Kumpula","2023","3","16","00:00","0.3"
"Helsinki Kumpula","2023","3","17","00:00","0.3"
"Helsinki Kumpula","2023","3","18","00:00","0.3"
"Helsinki Kumpula","2023","3","19","00:00","0.2"
"Helsinki Kumpula","2023","3","20","00:00","0.2"
"Helsinki Kumpula","2023","3","21","00:00","0.4"
"Helsinki Kumpula","2023","3","22","00:00","0.1"
"Helsinki Kumpula","2023","3","23","00:00","0.4"
"Helsinki Kumpula","2023","3","24","00:00","0.2"
"Helsinki Kumpula","2023","3","25","00:00","0.3"
"Helsinki Kumpula","2023","3","26","00:00","0.2"
"Helsinki Kumpula","2023","3","27","00:00","0.2"
"Helsinki Kumpula","2023","3","28","00:00","0.5"
"Helsinki Kumpula","2023","3","29","00:00","0.4"
"Helsinki Kumpula","2023","3","30","00:00","0.4"
"Helsinki Kumpula","2023","3","31","00:00","0.4"
"Helsinki Kumpula","2023","4","1","00:00","0.5"
"Helsinki Kumpula","2023","4","2","00:00","0.4"
"Helsinki Kumpula","2023","4","3","00:00","0.5"
"Helsinki Kumpula","2023","4","4","00:00","0.5"
"Helsinki Kumpula","2023","4","5","00:00","0.2"
"Helsinki Kumpula","2023","4","6","00:00","0.3"
"Helsinki Kumpula","2023","4","7","00:00","0.6"
"Helsinki Kumpula","2023","4","8","00:00","0.6"
"Helsinki Kumpula","2023","4","9","00:00","0.6"
"Helsinki Kumpula","2023","4","10","00:00","0.6"
"Helsinki Kumpula","2023","4","11","00:00","0.6"
"Helsinki Kumpula","2023","4","12","00:00","0.7"
"Helsinki Kumpula","2023","4","13","00:00","0.5"
"Helsinki Kumpula","2023","4","14","00:00","0.7"
"Helsinki Kumpula","2023","4","15","00:00","0.7"
"Helsinki Kumpula","2023","4","16","00:00","0.7"
"Helsinki Kumpula","2023","4","17","00:00","0.7"
"Helsinki Kumpula","2023","4","18","00:00","0.7"
"Helsinki Kumpula","2023","4","19","00:00","0.9"
"Helsinki Kumpula","2023","4","20","00:00","0.8"
"Helsinki Kumpula","2023","4","21","00:00","0.9"
"Helsinki Kumpula","2023","4","22","00:00","1.1"
"Helsinki Kumpula","2023","4","23","00:00","1"
"Helsinki Kumpula","2023","4","24","00:00","0.9"
"Helsinki Kumpula","2023","4","25","00:00","0.7"
"Helsinki Kumpula","2023","4","26","00:00","0.7"
"Helsinki Kumpula","2023","4","27","00:00","0.7"
"Helsinki Kumpula","2023","4","28","00:00","0.8"
"Helsinki Kumpula","2023","4","29","00:00","0.7"
"Helsinki Kumpula","2023","4","30","00:00","0.4"
"Helsinki Kumpula","2023","5","1","00:00","0.8"
"Helsinki Kumpula","2023","5","2","00:00","0.3"
"Helsinki Kumpula","2023","5","3","00:00","0.7"
"Helsinki Kumpula","2023","5","4","00:00","0.7"
"Helsinki Kumpula","2023","5","5","00:00","0.5"
"Helsinki Kumpula","2023","5","6","00:00","0.8"
"Helsinki Kumpula","2023","5","7","00:00","1"
"Helsinki Kumpula","2023","5","8","00:00","1.1"
"Helsinki Kumpula","2023","5","9","00:00","1.2"
"Helsinki Kumpula","2023","5","10","00:00","1.2"
"Helsinki Kumpula","2023","5","11","00:00","1.3"
"Helsinki Kumpula","2023","5","12","00:00","1.3"
"Helsinki Kumpula","2023","5","13","00:00","1.3"
"Helsinki Kumpula","2023","5","14","00:00","1.3"
"Helsinki Kumpula","2023","5","15","00:00","1.3"
"Helsinki Kumpula","2023","5","16","00:00","0.3"
"Helsinki Kumpula","2023","5","17","00:00","0.8"
"Helsinki Kumpula","2023","5","18","00:00","1.1"
"Helsinki Kumpula","2023","5","19","00:00","1.3"
"Helsinki Kumpula","2023","5","20","00:00","1.4"
"Helsinki Kumpula","2023","5","21","00:00","1.3"
"Helsinki Kumpula","2023","5","22","00:00","1.2"
"Helsinki Kumpula","2023","5","23","00:00","1.3"
"Helsinki Kumpula","2023","5","24","00:00","1.4"
"Helsinki Kumpula","2023","5","25","00:00","0.8"
"Helsinki Kumpula","2023","5","26","00:00","0.8"
"Helsinki Kumpula","2023","5","27","00:00","1.2"
"Helsinki Kumpula","2023","5","28","00:00","1.2"
"Helsinki Kumpula","2023","5","29","00:00","1.2"
"Helsinki Kumpula","2023","5","30","00:00","1"
"Helsinki Kumpula","2023","5","31","00:00","1"
"Helsinki Kumpula","2023","6","1","00:00","0.9"
"Helsinki Kumpula","2023","6","2","00:00","0.9"
"Helsinki Kumpula","2023","6","3","00:00","0.9"
"Helsinki Kumpula","2023","6","4","00:00","0.9"
"Helsinki Kumpula","2023","6","5","00:00","1.3"
"Helsinki Kumpula","2023","6","6","00:00","1"
"Helsinki Kumpula","2023","6","7","00:00","1.4"
"Helsinki Kumpula","2023","6","8","00:00","1.1"
"Helsinki Kumpula","2023","6","9","00:00","1.3"
