"Observation station","Year","Month","Day","Time [Local time]","UV index mean"
"Helsinki Kumpula","2023","9","10","00:00","0.6"
"Helsinki Kumpula","2023","9","11","00:00","0.4"
"Helsinki Kumpula","2023","9","12","00:00","0.5"
"Helsinki Kumpula","2023","9","13","00:00","0.3"
"Helsinki Kumpula","2023","9","14","00:00","0.6"
"Helsinki Kumpula","2023","9","15","00:00","0.7"
"Helsinki Kumpula","2023","9","16","00:00","0.6"
"Helsinki Kumpula","2023","9","17","00:00","0.4"
"Helsinki Kumpula","2023","9","18","00:00","0.6"
"Helsinki Kumpula","2023","9","19","00:00","0.3"
"Helsinki Kumpula","2023","9","20","00:00","0.3"
"Helsinki Kumpula","2023","9","21","00:00","0.4"
"Helsinki Kumpula","2023","9","22","00:00","0.5"
"Helsinki Kumpula","2023","9","23","00:00","0.2"
"Helsinki Kumpula","2023","9","24","00:00","0.4"
"Helsinki Kumpula","2023","9","25","00:00","0.5"
"Helsinki Kumpula","2023","9","26","00:00","0.4"
"Helsinki Kumpula","2023","9","27","00:00","0.2"
"Helsinki Kumpula","2023","9","28","00:00","0.4"
"Helsinki Kumpula","2023","9","29","00:00","0.2"
"Helsinki Kumpula","2023","9","30","00:00","0.2"
"Helsinki Kumpula","2023","10","1","00:00","0.2"
"Helsinki Kumpula","2023","10","2","00:00","0.4"
"Helsinki Kumpula","2023","10","3","00:00","0.3"
"Helsinki Kumpula","2023","10","4","00:00","0.3"
"Helsinki Kumpula","2023","10","5","00:00","0.3"
"Helsinki Kumpula","2023","10","6","00:00","0.3"
"Helsinki Kumpula","2023","10","7","00:00","0.2"
"Helsinki Kumpula","2023","10","8","00:00","0.2"
"Helsinki Kumpula","2023","10","9","00:00","0.2"
"Helsinki Kumpula","2023","10","10","00:00","0.2"
"Helsinki Kumpula","2023","10","11","00:00","0.1"
"Helsinki Kumpula","2023","10","12","00:00","0.2"
"Helsinki Kumpula","2023","10","13","00:00","0.3"
"Helsinki Kumpula","2023","10","14","00:00","0.1"
"Helsinki Kumpula","2023","10","15","00:00","0.2"
"Helsinki Kumpula","2023","10","16","00:00","0.2"
"Helsinki Kumpula","2023","10","17","00:00","0.2"
"Helsinki Kumpula","2023","10","18","00:00","0.1"
"Helsinki Kumpula","2023","10","19","00:00","0.1"
"Helsinki Kumpula","2023","10","20","00:00","0.2"
"Helsinki Kumpula","2023","10","21","00:00","0.2"
"Helsinki Kumpula","2023","10","22","00:00","0.1"
"Helsinki Kumpula","2023","10","23","00:00","0.1"
"Helsinki Kumpula","2023","10","24","00:00","0.1"
"Helsinki Kumpula","2023","10","25","00:00","0.1"
"Helsinki Kumpula","2023","10","26","00:00","0.1"
"Helsinki Kumpula","2023","10","27","00:00","0.1"
"Helsinki Kumpula","2023","10","28","00:00","0.1"
"Helsinki Kumpula","2023","10","29","00:00","0.1"
"Helsinki Kumpula","2023","10","30","00:00","0.1"
"Helsinki Kumpula","2023","10","31","00:00","0.1"
"Helsinki Kumpula","2023","11","1","00:00","0.1"
"Helsinki Kumpula","2023","11","2","00:00","0.1"
"Helsinki Kumpula","2023","11","3","00:00","0.1"
"Helsinki Kumpula","2023","11","4","00:00","0.1"
"Helsinki Kumpula","2023","11","5","00:00","0.1"
"Helsinki Kumpula","2023","11","6","00:00","0.1"
"Helsinki Kumpula","2023","11","7","00:00","0.1"
"Helsinki Kumpula","2023","11","8","00:00","0.1"
"Helsinki Kumpula","2023","11","9","00:00","0.1"
"Helsinki Kumpula","2023","11","10","00:00","0"
"Helsinki Kumpula","2023","11","11","00:00","0.1"
"Helsinki Kumpula","2023","11","12","00:00","0.1"
"Helsinki Kumpula","2023","11","13","00:00","0.1"
"Helsinki Kumpula","2023","11","14","00:00","0.1"
"Helsinki Kumpula","2023","11","15","00:00","0.1"
"Helsinki Kumpula","2023","11","16","00:00","0.1"
"Helsinki Kumpula","2023","11","17","00:00","0.1"
"Helsinki Kumpula","2023","11","18","00:00","0.1"
"Helsinki Kumpula","2023","11","19","00:00","0.1"
"Helsinki Kumpula","2023","11","20","00:00","0.1"
"Helsinki Kumpula","2023","11","21","00:00","0.1"
"Helsinki Kumpula","2023","11","22","00:00","0.1"
"Helsinki Kumpula","2023","11","23","00:00","0.1"
"Helsinki Kumpula","2023","11","24","00:00","0.1"
"Helsinki Kumpula","2023","11","25","00:00","0.1"
"Helsinki Kumpula","2023","11","26","00:00","0.1"
"Helsinki Kumpula","2023","11","27","00:00","0.1"
"Helsinki Kumpula","2023","11","28","00:00","0.1"
"Helsinki Kumpula","2023","11","29","00:00","0"
"Helsinki Kumpula","2023","11","30","00:00","0.1"
"Helsinki Kumpula","2023","12","1","00:00","0.1"
"Helsinki Kumpula","2023","12","2","00:00","0.1"
"Helsinki Kumpula","2023","12","3","00:00","0.1"
"Helsinki Kumpula","2023","12","4","00:00","0.1"
"Helsinki Kumpula","2023","12","5","00:00","0.1"
"Helsinki Kumpula","2023","12","6","00:00","0.1"
"Helsinki Kumpula","2023","12","7","00:00","0.1"
"Helsinki Kumpula","2023","12","8","00:00","0.1"
"Helsinki Kumpula","2023","12","9","00:00","0.1"
"Helsinki Kumpula","2023","12","10","00:00","0.1"
"Helsinki Kumpula","2023","12","11","00:00","0.1"
"Helsinki Kumpula","2023","12","12","00:00","0.1"
"Helsinki Kumpula","2023","12","13","00:00","0.1"
"Helsinki Kumpula","2023","12","14","00:00","0.1"
"Helsinki Kumpula","2023","12","15","00:00","0.1"
"Helsinki Kumpula","2023","12","16","00:00","0"
"Helsinki Kumpula","2023","12","17","00:00","0.1"
"Helsinki Kumpula","2023","12","18","00:00","0"
"Helsinki Kumpula","2023","12","19","00:00","0.1"
"Helsinki Kumpula","2023","12","20","00:00","0.1"
"Helsinki Kumpula","2023","12","21","00:00","0"
"Helsinki Kumpula","2023","12","22","00:00","0"
"Helsinki Kumpula","2023","12","23","00:00","0"
"Helsinki Kumpula","2023","12","24","00:00","0.1"
"Helsinki Kumpula","2023","12","25","00:00","0.1"
"Helsinki Kumpula","2023","12","26","00:00","0.1"
"Helsinki Kumpula","2023","12","27","00:00","0.1"
"Helsinki Kumpula","2023","12","28","00:00","0.1"
"Helsinki Kumpula","2023","12","29","00:00","0"
"Helsinki Kumpula","2023","12","30","00:00","0.1"
"Helsinki Kumpula","2023","12","31","00:00","0.1"
"Helsinki Kumpula","2024","1","1","00:00","0.1"
"Helsinki Kumpula","2024","1","2","00:00","0.1"
"Helsinki Kumpula","2024","1","3","00:00","0.1"
"Helsinki Kumpula","2024","1","4","00:00","0.1"
"Helsinki Kumpula","2024","1","5","00:00","0.1"
"Helsinki Kumpula","2024","1","6","00:00","0.1"
"Helsinki Kumpula","2024","1","7","00:00","0.1"
"Helsinki Kumpula","2024","1","8","00:00","0.1"
"Helsinki Kumpula","2024","1","9","00:00","0.1"
"Helsinki Kumpula","2024","1","10","00:00","0.1"
"Helsinki Kumpula","2024","1","11","00:00","0.1"
"Helsinki Kumpula","2024","1","12","00:00","0.1"
"Helsinki Kumpula","2024","1","13","00:00","0.1"
"Helsinki Kumpula","2024","1","14","00:00","0.1"
"Helsinki Kumpula","2024","1","15","00:00","0.1"
"Helsinki Kumpula","2024","1","16","00:00","0.1"
"Helsinki Kumpula","2024","1","17","00:00","0.1"
"Helsinki Kumpula","2024","1","18","00:00","0.1"
"Helsinki Kumpula","2024","1","19","00:00","0.1"
"Helsinki Kumpula","2024","1","20","00:00","0.1"
"Helsinki Kumpula","2024","1","21","00:00","0.1"
"Helsinki Kumpula","2024","1","22","00:00","0"
"Helsinki Kumpula","2024","1","23","00:00","0.1"
"Helsinki Kumpula","2024","1","24","00:00","0.1"
"Helsinki Kumpula","2024","1","25","00:00","0.1"
"Helsinki Kumpula","2024","1","26","00:00","0.1"
"Helsinki Kumpula","2024","1","27","00:00","0.1"
"Helsinki Kumpula","2024","1","28","00:00","0.1"
"Helsinki Kumpula","2024","1","29","00:00","0.1"
"Helsinki Kumpula","2024","1","30","00:00","0.1"
"Helsinki Kumpula","2024","1","31","00:00","0"
"Helsinki Kumpula","2024","2","1","00:00","0.1"
"Helsinki Kumpula","2024","2","2","00:00","0.1"
"Helsinki Kumpula","2024","2","3","00:00","0.1"
"Helsinki Kumpula","2024","2","4","00:00","0.1"
"Helsinki Kumpula","2024","2","5","00:00","0.1"
"Helsinki Kumpula","2024","2","6","00:00","0.1"
"Helsinki Kumpula","2024","2","7","00:00","0.1"
"Helsinki Kumpula","2024","2","8","00:00","0.1"
"Helsinki Kumpula","2024","2","9","00:00","0.1"
"Helsinki Kumpula","2024","2","10","00:00","0.1"
"Helsinki Kumpula","2024","2","11","00:00","0.1"
"Helsinki Kumpula","2024","2","12","00:00","0.1"
"Helsinki Kumpula","2024","2","13","00:00","0.1"
"Helsinki Kumpula","2024","2","14","00:00","0.1"
"Helsinki Kumpula","2024","2","15","00:00","0.1"
"Helsinki Kumpula","2024","2","16","00:00","0.1"
"Helsinki Kumpula","2024","2","17","00:00","0.1"
"Helsinki Kumpula","2024","2","18","00:00","0.1"
"Helsinki Kumpula","2024","2","19","00:00","0.1"
"Helsinki Kumpula","2024","2","20","00:00","0.1"
"Helsinki Kumpula","2024","2","21","00:00","0.1"
"Helsinki Kumpula","2024","2","22","00:00","0.1"
"Helsinki Kumpula","2024","2","23","00:00","0.1"
"Helsinki Kumpula","2024","2","24","00:00","0.1"
"Helsinki Kumpula","2024","2","25","00:00","0.1"
"Helsinki Kumpula","2024","2","26","00:00","0.1"
"Helsinki Kumpula","2024","2","27","00:00","0.1"
"Helsinki Kumpula","2024","2","28","00:00","0.1"
"Helsinki Kumpula","2024","2","29","00:00","0.1"
"Helsinki Kumpula","2024","3","1","00:00","0.1"
"Helsinki Kumpula","2024","3","2","00:00","0.1"
"Helsinki Kumpula","2024","3","3","00:00","0.2"
"Helsinki Kumpula","2024","3","4","00:00","0.2"
"Helsinki Kumpula","2024","3","5","00:00","0.3"
"Helsinki Kumpula","2024","3","6","00:00","0.3"
"Helsinki Kumpula","2024","3","7","00:00","0.2"
"Helsinki Kumpula","2024","3","8","00:00","0.1"
"Helsinki Kumpula","2024","3","9","00:00","0.2"
"Helsinki Kumpula","2024","3","10","00:00","0.3"
