date,snow_depth_cm,avg_temp_c,uv_index,cloud_cover_rate,cloud_cover,location
2003-03-10,70,0,,,,Ruka
2003-03-11,70,0.4,,,,Ruka
2003-03-12,77,-3.6,,,,Ruka
2003-03-13,77,-9.3,,,,Ruka
2003-03-14,76,1.7,,,,Ruka
2003-03-15,75,-1.2,,,,Ruka
2003-03-16,74,-6.1,,,,Ruka
2003-03-17,76,-0.9,,,,Ruka
2003-03-18,75,-1.1,,,,Ruka
2003-03-19,74,-5.3,,,,Ruka
2003-03-20,73,-12.4,,,,Ruka
2003-03-21,71,-10.2,,,,Ruka
2003-03-22,73,2.2,,,,Ruka
2003-03-23,71,1.5,,,,Ruka
2003-03-24,70,-2.5,,,,Ruka
2003-03-25,70,-5.2,,,,Ruka
2003-03-26,70,1.3,,,,Ruka
2003-03-27,67,3.7,,,,Ruka
2003-03-28,64,0,,,,Ruka
2003-03-29,64,-4.8,,,,Ruka
2003-03-30,66,-3.3,,,,Ruka
2003-03-31,68,-13,,,,Ruka
2003-04-01,67,-12.3,,,,Ruka
2003-04-02,66,-4.1,,,,Ruka
2003-04-03,66,-4.6,,,,Ruka
2003-04-04,67,-6.1,,,,Ruka
2003-04-05,66,-8.9,,,,Ruka
2003-04-06,65,-9.3,,,,Ruka
2003-04-07,65,-10.9,,,,Ruka
2003-04-08,64,-9.7,,,,Ruka
2003-04-09,64,-6.5,,,,Ruka
2003-04-10,64,-2.2,,,,Ruka
2003-04-11,62,0,,,,Ruka
2003-04-12,61,0.7,,,,Ruka
2003-04-13,59,2.5,,,,Ruka
2003-04-14,57,2.4,,,,Ruka
2003-04-15,55,2.5,,,,Ruka
2003-04-16,51,3,,,,Ruka
2003-04-17,48,3.1,,,,Ruka
2003-04-18,42,3.6,,,,Ruka
2003-04-19,40,5.7,,,,Ruka
2003-04-20,35,6.8,,,,Ruka
2003-04-21,30,6,,,,Ruka
2003-04-22,26,2,,,,Ruka
2003-04-23,25,-3.3,,,,Ruka
2003-04-24,25,-5.7,,,,Ruka
2003-04-25,24,-5.3,,,,Ruka
2003-04-26,24,-3.3,,,,Ruka
2003-04-27,23,-1.9,,,,Ruka
2003-04-28,26,1.4,,,,Ruka
2003-04-29,25,0.4,,,,Ruka
2003-04-30,24,-1.3,,,,Ruka
2003-05-01,27,0.2,,,,Ruka
2003-05-02,23,1.9,,,,Ruka
2003-05-03,21,1,,,,Ruka
2003-05-04,21,1.3,,,,Ruka
2003-05-05,20,3.3,,,,Ruka
2003-05-06,17,4.9,,,,Ruka
2003-05-07,13,3.7,,,,Ruka
2003-05-08,12,3,,,,Ruka
2003-05-09,8,3.6,,,,Ruka
2003-05-10,5,3.4,,,,Ruka
2003-05-11,2,6.4,,,,Ruka
2003-05-12,0,7.2,,,,Ruka
2003-05-13,0,10.5,,,,Ruka
