"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]","Average temperature [°C]"
"Kuopio keskusta","2003","3","10","02:00","-","0.1"
"Kuopio keskusta","2003","3","11","02:00","-","1.7"
"Kuopio keskusta","2003","3","12","02:00","-","-0.6"
"Kuopio keskusta","2003","3","13","02:00","-","-3.2"
"Kuopio keskusta","2003","3","14","02:00","-","0.9"
"Kuopio keskusta","2003","3","15","02:00","-","1.5"
"Kuopio keskusta","2003","3","16","02:00","-","0"
"Kuopio keskusta","2003","3","17","02:00","-","2"
"Kuopio keskusta","2003","3","18","02:00","-","0.9"
"Kuopio keskusta","2003","3","19","02:00","-","0.2"
"Kuopio keskusta","2003","3","20","02:00","-","-8.3"
"Kuopio keskusta","2003","3","21","02:00","-","-6.4"
"Kuopio keskusta","2003","3","22","02:00","-","-0.4"
"Kuopio keskusta","2003","3","23","02:00","-","4.3"
"Kuopio keskusta","2003","3","24","02:00","-","3.7"
"Kuopio keskusta","2003","3","25","02:00","-","0.8"
"Kuopio keskusta","2003","3","26","02:00","-","1.5"
"Kuopio keskusta","2003","3","27","02:00","-","4.7"
"Kuopio keskusta","2003","3","28","02:00","-","3"
"Kuopio keskusta","2003","3","29","02:00","-","2.2"
"Kuopio keskusta","2003","3","30","02:00","-","1.9"
"Kuopio keskusta","2003","3","31","03:00","-","-5.1"
"Kuopio keskusta","2003","4","1","03:00","-","-8.8"
"Kuopio keskusta","2003","4","2","03:00","-","-6.7"
"Kuopio keskusta","2003","4","3","03:00","-","-5.6"
"Kuopio keskusta","2003","4","4","03:00","-","-1.7"
"Kuopio keskusta","2003","4","5","03:00","-","-2.3"
"Kuopio keskusta","2003","4","6","03:00","-","-4.8"
"Kuopio keskusta","2003","4","7","03:00","-","-4.6"
"Kuopio keskusta","2003","4","8","03:00","-","-2.7"
"Kuopio keskusta","2003","4","9","03:00","-","-0.9"
"Kuopio keskusta","2003","4","10","03:00","-","1.1"
"Kuopio keskusta","2003","4","11","03:00","-","2.4"
"Kuopio keskusta","2003","4","12","03:00","-","3.2"
"Kuopio keskusta","2003","4","13","03:00","-","2.3"
"Kuopio keskusta","2003","4","14","03:00","-","1.6"
"Kuopio keskusta","2003","4","15","03:00","-","2"
"Kuopio keskusta","2003","4","16","03:00","-","5.3"
"Kuopio keskusta","2003","4","17","03:00","-","3.8"
"Kuopio keskusta","2003","4","18","03:00","-","2.9"
"Kuopio keskusta","2003","4","19","03:00","-","6.4"
"Kuopio keskusta","2003","4","20","03:00","-","7.1"
"Kuopio keskusta","2003","4","21","03:00","-","8.2"
"Kuopio keskusta","2003","4","22","03:00","-","8.3"
"Kuopio keskusta","2003","4","23","03:00","-","2.7"
"Kuopio keskusta","2003","4","24","03:00","-","-0.8"
"Kuopio keskusta","2003","4","25","03:00","-","-1.6"
"Kuopio keskusta","2003","4","26","03:00","-","-0.4"
"Kuopio keskusta","2003","4","27","03:00","-","0.6"
"Kuopio keskusta","2003","4","28","03:00","-","1.6"
"Kuopio keskusta","2003","4","29","03:00","-","3.8"
"Kuopio keskusta","2003","4","30","03:00","-","1.9"
"Kuopio keskusta","2003","5","1","03:00","-","3.5"
"Kuopio keskusta","2003","5","2","03:00","-","3.2"
"Kuopio keskusta","2003","5","3","03:00","-","3"
"Kuopio keskusta","2003","5","4","03:00","-","4"
"Kuopio keskusta","2003","5","5","03:00","-","4.3"
"Kuopio keskusta","2003","5","6","03:00","-","7.6"
"Kuopio keskusta","2003","5","7","03:00","-","7.5"
"Kuopio keskusta","2003","5","8","03:00","-","6.2"
"Kuopio keskusta","2003","5","9","03:00","-","5.3"
"Kuopio keskusta","2003","5","10","03:00","-","8.6"
"Kuopio keskusta","2003","5","11","03:00","-","10.1"
"Kuopio keskusta","2003","5","12","03:00","-","9.6"
"Kuopio keskusta","2003","5","13","03:00","-","12"
"Kuopio keskusta","2003","5","14","03:00","-","13.9"
"Kuopio keskusta","2003","5","15","03:00","-","12.8"
"Kuopio keskusta","2003","5","16","03:00","-","11"
"Kuopio keskusta","2003","5","17","03:00","-","14.8"
"Kuopio keskusta","2003","5","18","03:00","-","11.5"
"Kuopio keskusta","2003","5","19","03:00","-","9.4"
"Kuopio keskusta","2003","5","20","03:00","-","10.1"
"Kuopio keskusta","2003","5","21","03:00","-","12.1"
"Kuopio keskusta","2003","5","23","03:00","-","11.8"
"Kuopio keskusta","2003","5","24","03:00","-","10.6"
"Kuopio keskusta","2003","5","25","03:00","-","13.2"
"Kuopio keskusta","2003","5","26","03:00","-","16.5"
"Kuopio keskusta","2003","5","27","03:00","-","14.4"
"Kuopio keskusta","2003","5","28","03:00","-","11.8"
"Kuopio keskusta","2003","5","29","03:00","-","11.4"
"Kuopio keskusta","2003","5","30","03:00","-","12.6"
"Kuopio keskusta","2003","5","31","03:00","-","9.6"
"Kuopio keskusta","2003","6","1","03:00","-","7"
"Kuopio keskusta","2003","6","2","03:00","-","7.8"
"Kuopio keskusta","2003","6","3","03:00","-","11.4"
"Kuopio keskusta","2003","6","4","03:00","-","16.1"
"Kuopio keskusta","2003","6","5","03:00","-","15"
"Kuopio keskusta","2003","6","6","03:00","-","8.9"
"Kuopio keskusta","2003","6","7","03:00","-","10.8"
"Kuopio keskusta","2003","6","8","03:00","-","14"
"Kuopio keskusta","2003","6","9","03:00","-","12.6"
"Kuopio keskusta","2003","6","10","03:00","-","9.7"
"Kuopio keskusta","2003","6","11","03:00","-","10.6"
