"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2022","3","10","00:00","2.4"
"Jokioinen Ilmala","2022","3","11","00:00","1.7"
"Jokioinen Ilmala","2022","3","12","00:00","302.9"
"Jokioinen Ilmala","2022","3","13","00:00","279.9"
"Jokioinen Ilmala","2022","3","14","00:00","351.9"
"Jokioinen Ilmala","2022","3","15","00:00","310"
"Jokioinen Ilmala","2022","3","16","00:00","351.6"
"Jokioinen Ilmala","2022","3","17","00:00","348"
"Jokioinen Ilmala","2022","3","18","00:00","60.3"
"Jokioinen Ilmala","2022","3","19","00:00","233"
"Jokioinen Ilmala","2022","3","20","00:00","359.4"
"Jokioinen Ilmala","2022","3","21","00:00","371.5"
"Jokioinen Ilmala","2022","3","22","00:00","280.1"
"Jokioinen Ilmala","2022","3","23","00:00","129"
"Jokioinen Ilmala","2022","3","24","00:00","53.8"
"Jokioinen Ilmala","2022","3","25","00:00","24.6"
"Jokioinen Ilmala","2022","3","26","00:00","25.5"
"Jokioinen Ilmala","2022","3","27","00:00","103.5"
"Jokioinen Ilmala","2022","3","28","00:00","79.2"
"Jokioinen Ilmala","2022","3","29","00:00","244.9"
"Jokioinen Ilmala","2022","3","30","00:00","107.4"
"Jokioinen Ilmala","2022","3","31","00:00","240.1"
"Jokioinen Ilmala","2022","4","1","00:00","239.5"
"Jokioinen Ilmala","2022","4","2","00:00","324.7"
"Jokioinen Ilmala","2022","4","3","00:00","273.2"
"Jokioinen Ilmala","2022","4","4","00:00","0.8"
"Jokioinen Ilmala","2022","4","5","00:00","0.4"
"Jokioinen Ilmala","2022","4","6","00:00","63.5"
"Jokioinen Ilmala","2022","4","7","00:00","40.6"
"Jokioinen Ilmala","2022","4","8","00:00","-"
"-","2022","4","9","00:00","-"
"-","2022","4","10","00:00","-"
"-","2022","4","11","00:00","-"
"-","2022","4","12","00:00","-"
"-","2022","4","13","00:00","-"
"-","2022","4","14","00:00","-"
"-","2022","4","15","00:00","-"
"-","2022","4","16","00:00","-"
"-","2022","4","17","00:00","-"
"-","2022","4","18","00:00","-"
"-","2022","4","19","00:00","-"
"-","2022","4","20","00:00","-"
"Jokioinen Ilmala","2022","4","21","00:00","481.2"
"Jokioinen Ilmala","2022","4","22","00:00","472.2"
"Jokioinen Ilmala","2022","4","23","00:00","38.1"
"Jokioinen Ilmala","2022","4","24","00:00","464.9"
"Jokioinen Ilmala","2022","4","25","00:00","446.3"
"Jokioinen Ilmala","2022","4","26","00:00","256.9"
"Jokioinen Ilmala","2022","4","27","00:00","292.5"
"Jokioinen Ilmala","2022","4","28","00:00","115.4"
"Jokioinen Ilmala","2022","4","29","00:00","233.2"
"Jokioinen Ilmala","2022","4","30","00:00","159.6"
"Jokioinen Ilmala","2022","5","1","00:00","249.5"
"Jokioinen Ilmala","2022","5","2","00:00","53.1"
"Jokioinen Ilmala","2022","5","3","00:00","109.4"
"Jokioinen Ilmala","2022","5","4","00:00","378.8"
"Jokioinen Ilmala","2022","5","5","00:00","163.1"
"Jokioinen Ilmala","2022","5","6","00:00","292.8"
"Jokioinen Ilmala","2022","5","7","00:00","46.2"
"Jokioinen Ilmala","2022","5","8","00:00","351.2"
"Jokioinen Ilmala","2022","5","9","00:00","105.2"
"Jokioinen Ilmala","2022","5","10","00:00","282"
"Jokioinen Ilmala","2022","5","11","00:00","59.9"
"Jokioinen Ilmala","2022","5","12","00:00","47.6"
"Jokioinen Ilmala","2022","5","13","00:00","467.7"
"Jokioinen Ilmala","2022","5","14","00:00","131.2"
"Jokioinen Ilmala","2022","5","15","00:00","418.7"
"Jokioinen Ilmala","2022","5","16","00:00","217"
"Jokioinen Ilmala","2022","5","17","00:00","87.3"
"Jokioinen Ilmala","2022","5","18","00:00","429.8"
"Jokioinen Ilmala","2022","5","19","00:00","307.7"
"Jokioinen Ilmala","2022","5","20","00:00","291.9"
"Jokioinen Ilmala","2022","5","21","00:00","446"
"Jokioinen Ilmala","2022","5","22","00:00","369.4"
"Jokioinen Ilmala","2022","5","23","00:00","447.2"
"Jokioinen Ilmala","2022","5","24","00:00","517.3"
"Jokioinen Ilmala","2022","5","25","00:00","232.5"
"Jokioinen Ilmala","2022","5","26","00:00","11.6"
"Jokioinen Ilmala","2022","5","27","00:00","1.8"
"Jokioinen Ilmala","2022","5","28","00:00","13.5"
"Jokioinen Ilmala","2022","5","29","00:00","173.9"
"Jokioinen Ilmala","2022","5","30","00:00","270.7"
"Jokioinen Ilmala","2022","5","31","00:00","2.3"
"Jokioinen Ilmala","2022","6","1","00:00","166"
"Jokioinen Ilmala","2022","6","2","00:00","10.1"
"Jokioinen Ilmala","2022","6","3","00:00","233.8"
"Jokioinen Ilmala","2022","6","4","00:00","245.4"
"Jokioinen Ilmala","2022","6","5","00:00","124.4"
"Jokioinen Ilmala","2022","6","6","00:00","566.9"
"Jokioinen Ilmala","2022","6","7","00:00","462"
"Jokioinen Ilmala","2022","6","8","00:00","42.5"
"Jokioinen Ilmala","2022","6","9","00:00","138.3"
"Jokioinen Ilmala","2022","6","10","00:00","177.4"
"Jokioinen Ilmala","2022","6","11","00:00","240.7"
"Jokioinen Ilmala","2022","6","12","00:00","290"
"Jokioinen Ilmala","2022","6","13","00:00","155.8"
"Jokioinen Ilmala","2022","6","14","00:00","243.4"
"Jokioinen Ilmala","2022","6","15","00:00","511.1"
"Jokioinen Ilmala","2022","6","16","00:00","339.8"
"Jokioinen Ilmala","2022","6","17","00:00","464"
"Jokioinen Ilmala","2022","6","18","00:00","0.3"
"Jokioinen Ilmala","2022","6","19","00:00","237.7"
"Jokioinen Ilmala","2022","6","20","00:00","232.6"
"Jokioinen Ilmala","2022","6","21","00:00","356.7"
"Jokioinen Ilmala","2022","6","22","00:00","49.7"
"Jokioinen Ilmala","2022","6","23","00:00","177.9"
"Jokioinen Ilmala","2022","6","24","00:00","417.2"
"Jokioinen Ilmala","2022","6","25","00:00","532.9"
"Jokioinen Ilmala","2022","6","26","00:00","507.5"
"Jokioinen Ilmala","2022","6","27","00:00","413.4"
"Jokioinen Ilmala","2022","6","28","00:00","237.4"
"Jokioinen Ilmala","2022","6","29","00:00","340.2"
"Jokioinen Ilmala","2022","6","30","00:00","504.9"
"Jokioinen Ilmala","2022","7","1","00:00","205.1"
"Jokioinen Ilmala","2022","7","2","00:00","107.6"
"Jokioinen Ilmala","2022","7","3","00:00","454.9"
"Jokioinen Ilmala","2022","7","4","00:00","420.2"
"Jokioinen Ilmala","2022","7","5","00:00","199.2"
"Jokioinen Ilmala","2022","7","6","00:00","279.6"
"Jokioinen Ilmala","2022","7","7","00:00","258.9"
"Jokioinen Ilmala","2022","7","8","00:00","333.6"
"Jokioinen Ilmala","2022","7","9","00:00","91.1"
"Jokioinen Ilmala","2022","7","10","00:00","284.4"
"Jokioinen Ilmala","2022","7","11","00:00","180.9"
"Jokioinen Ilmala","2022","7","12","00:00","145.9"
"Jokioinen Ilmala","2022","7","13","00:00","1"
"Jokioinen Ilmala","2022","7","14","00:00","192.8"
"Jokioinen Ilmala","2022","7","15","00:00","108.3"
"Jokioinen Ilmala","2022","7","16","00:00","56.4"
"Jokioinen Ilmala","2022","7","17","00:00","7.4"
"Jokioinen Ilmala","2022","7","18","00:00","109.1"
"Jokioinen Ilmala","2022","7","19","00:00","269.1"
"Jokioinen Ilmala","2022","7","20","00:00","415.4"
"Jokioinen Ilmala","2022","7","21","00:00","395.4"
"Jokioinen Ilmala","2022","7","22","00:00","322.5"
"Jokioinen Ilmala","2022","7","23","00:00","77.8"
"Jokioinen Ilmala","2022","7","24","00:00","27.6"
"Jokioinen Ilmala","2022","7","25","00:00","252.1"
"Jokioinen Ilmala","2022","7","26","00:00","12.5"
"Jokioinen Ilmala","2022","7","27","00:00","89.9"
"Jokioinen Ilmala","2022","7","28","00:00","199.3"
"Jokioinen Ilmala","2022","7","29","00:00","84.6"
"Jokioinen Ilmala","2022","7","30","00:00","244.1"
"Jokioinen Ilmala","2022","7","31","00:00","275"
"Jokioinen Ilmala","2022","8","1","00:00","278.6"
"Jokioinen Ilmala","2022","8","2","00:00","356.7"
"Jokioinen Ilmala","2022","8","3","00:00","126.9"
"Jokioinen Ilmala","2022","8","4","00:00","168.5"
"Jokioinen Ilmala","2022","8","5","00:00","145.2"
"Jokioinen Ilmala","2022","8","6","00:00","87.2"
"Jokioinen Ilmala","2022","8","7","00:00","255.6"
"Jokioinen Ilmala","2022","8","8","00:00","244.4"
"Jokioinen Ilmala","2022","8","9","00:00","479.4"
"Jokioinen Ilmala","2022","8","10","00:00","212.2"
"Jokioinen Ilmala","2022","8","11","00:00","276.1"
"Jokioinen Ilmala","2022","8","12","00:00","315"
"Jokioinen Ilmala","2022","8","13","00:00","427.2"
"Jokioinen Ilmala","2022","8","14","00:00","425.9"
"Jokioinen Ilmala","2022","8","15","00:00","295.3"
"Jokioinen Ilmala","2022","8","16","00:00","317.1"
"Jokioinen Ilmala","2022","8","17","00:00","74.2"
"Jokioinen Ilmala","2022","8","18","00:00","88.1"
"Jokioinen Ilmala","2022","8","19","00:00","115.1"
"Jokioinen Ilmala","2022","8","20","00:00","243.1"
"Jokioinen Ilmala","2022","8","21","00:00","149.8"
"Jokioinen Ilmala","2022","8","22","00:00","209.6"
"Jokioinen Ilmala","2022","8","23","00:00","23.9"
