"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2023","3","10","00:00","63"
"Jokioinen Ilmala","2023","3","11","00:00","4.2"
"Jokioinen Ilmala","2023","3","12","00:00","296.6"
"Jokioinen Ilmala","2023","3","13","00:00","210.6"
"Jokioinen Ilmala","2023","3","14","00:00","0.6"
"Jokioinen Ilmala","2023","3","15","00:00","271.3"
"Jokioinen Ilmala","2023","3","16","00:00","351.8"
"Jokioinen Ilmala","2023","3","17","00:00","65"
"Jokioinen Ilmala","2023","3","18","00:00","0.4"
"Jokioinen Ilmala","2023","3","19","00:00","2.5"
"Jokioinen Ilmala","2023","3","20","00:00","1.1"
"Jokioinen Ilmala","2023","3","21","00:00","190.6"
"Jokioinen Ilmala","2023","3","22","00:00","0.7"
"Jokioinen Ilmala","2023","3","23","00:00","25.5"
"Jokioinen Ilmala","2023","3","24","00:00","1.7"
"Jokioinen Ilmala","2023","3","25","00:00","1.6"
"Jokioinen Ilmala","2023","3","26","00:00","1.2"
"Jokioinen Ilmala","2023","3","27","00:00","0.6"
"Jokioinen Ilmala","2023","3","28","00:00","12"
"Jokioinen Ilmala","2023","3","29","00:00","129.9"
"Jokioinen Ilmala","2023","3","30","00:00","433.4"
"Jokioinen Ilmala","2023","3","31","00:00","428.2"
"Jokioinen Ilmala","2023","4","1","00:00","425.4"
"Jokioinen Ilmala","2023","4","2","00:00","403.1"
"Jokioinen Ilmala","2023","4","3","00:00","428.6"
"Jokioinen Ilmala","2023","4","4","00:00","438.1"
"Jokioinen Ilmala","2023","4","5","00:00","41"
"Jokioinen Ilmala","2023","4","6","00:00","226.1"
"Jokioinen Ilmala","2023","4","7","00:00","375.3"
"Jokioinen Ilmala","2023","4","8","00:00","391.7"
"Jokioinen Ilmala","2023","4","9","00:00","378.6"
"Jokioinen Ilmala","2023","4","10","00:00","385.2"
"Jokioinen Ilmala","2023","4","11","00:00","106.3"
"Jokioinen Ilmala","2023","4","12","00:00","165.2"
"Jokioinen Ilmala","2023","4","13","00:00","114.5"
"Jokioinen Ilmala","2023","4","14","00:00","351.7"
"Jokioinen Ilmala","2023","4","15","00:00","436.4"
"Jokioinen Ilmala","2023","4","16","00:00","432.9"
"Jokioinen Ilmala","2023","4","17","00:00","423.7"
"Jokioinen Ilmala","2023","4","18","00:00","424.6"
"Jokioinen Ilmala","2023","4","19","00:00","449.9"
"Jokioinen Ilmala","2023","4","20","00:00","180.8"
"Jokioinen Ilmala","2023","4","21","00:00","384.7"
"Jokioinen Ilmala","2023","4","22","00:00","467"
"Jokioinen Ilmala","2023","4","23","00:00","285.9"
"Jokioinen Ilmala","2023","4","24","00:00","209.4"
"Jokioinen Ilmala","2023","4","25","00:00","201.2"
"Jokioinen Ilmala","2023","4","26","00:00","28.8"
"Jokioinen Ilmala","2023","4","27","00:00","150.9"
"Jokioinen Ilmala","2023","4","28","00:00","100.4"
"Jokioinen Ilmala","2023","4","29","00:00","97.5"
"Jokioinen Ilmala","2023","4","30","00:00","76.4"
"Jokioinen Ilmala","2023","5","1","00:00","230.4"
"Jokioinen Ilmala","2023","5","2","00:00","3.6"
"Jokioinen Ilmala","2023","5","3","00:00","384.8"
"Jokioinen Ilmala","2023","5","4","00:00","277.9"
"Jokioinen Ilmala","2023","5","5","00:00","149.6"
"Jokioinen Ilmala","2023","5","6","00:00","339.2"
"Jokioinen Ilmala","2023","5","7","00:00","380.4"
"Jokioinen Ilmala","2023","5","8","00:00","489.5"
"Jokioinen Ilmala","2023","5","9","00:00","331.6"
"Jokioinen Ilmala","2023","5","10","00:00","341.5"
"Jokioinen Ilmala","2023","5","11","00:00","464.6"
"Jokioinen Ilmala","2023","5","12","00:00","497.5"
"Jokioinen Ilmala","2023","5","13","00:00","429.4"
"Jokioinen Ilmala","2023","5","14","00:00","451.7"
"Jokioinen Ilmala","2023","5","15","00:00","362.6"
"Jokioinen Ilmala","2023","5","16","00:00","2.2"
"Jokioinen Ilmala","2023","5","17","00:00","6.6"
"Jokioinen Ilmala","2023","5","18","00:00","227.6"
"Jokioinen Ilmala","2023","5","19","00:00","482"
"Jokioinen Ilmala","2023","5","20","00:00","507.4"
"Jokioinen Ilmala","2023","5","21","00:00","448.2"
"Jokioinen Ilmala","2023","5","22","00:00","190.3"
"Jokioinen Ilmala","2023","5","23","00:00","277.3"
"Jokioinen Ilmala","2023","5","24","00:00","463.2"
"Jokioinen Ilmala","2023","5","25","00:00","188.8"
"Jokioinen Ilmala","2023","5","26","00:00","128.8"
"Jokioinen Ilmala","2023","5","27","00:00","439.6"
"Jokioinen Ilmala","2023","5","28","00:00","96.3"
"Jokioinen Ilmala","2023","5","29","00:00","321.2"
"Jokioinen Ilmala","2023","5","30","00:00","257.7"
"Jokioinen Ilmala","2023","5","31","00:00","175"
"Jokioinen Ilmala","2023","6","1","00:00","192.5"
"Jokioinen Ilmala","2023","6","2","00:00","102.9"
"Jokioinen Ilmala","2023","6","3","00:00","90.5"
"Jokioinen Ilmala","2023","6","4","00:00","81.9"
"Jokioinen Ilmala","2023","6","5","00:00","390.6"
"Jokioinen Ilmala","2023","6","6","00:00","113.3"
"Jokioinen Ilmala","2023","6","7","00:00","436.2"
"Jokioinen Ilmala","2023","6","8","00:00","132.7"
"Jokioinen Ilmala","2023","6","9","00:00","481"
"Jokioinen Ilmala","2023","6","10","00:00","545.9"
"Jokioinen Ilmala","2023","6","11","00:00","525"
"Jokioinen Ilmala","2023","6","12","00:00","558.4"
"Jokioinen Ilmala","2023","6","13","00:00","529.4"
"Jokioinen Ilmala","2023","6","14","00:00","401.9"
"Jokioinen Ilmala","2023","6","15","00:00","425.4"
