"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2016","3","10","00:00","0.7"
"Helsinki Kumpula","2016","3","11","00:00","29.6"
"Helsinki Kumpula","2016","3","12","00:00","308.6"
"Helsinki Kumpula","2016","3","13","00:00","170.3"
"Helsinki Kumpula","2016","3","14","00:00","51.8"
"Helsinki Kumpula","2016","3","15","00:00","110.5"
"Helsinki Kumpula","2016","3","16","00:00","251.7"
"Helsinki Kumpula","2016","3","17","00:00","162.1"
"Helsinki Kumpula","2016","3","18","00:00","130.5"
"Helsinki Kumpula","2016","3","19","00:00","196.9"
"Helsinki Kumpula","2016","3","20","00:00","96.8"
"Helsinki Kumpula","2016","3","21","00:00","64.3"
"Helsinki Kumpula","2016","3","22","00:00","311.6"
"Helsinki Kumpula","2016","3","23","00:00","140.5"
"Helsinki Kumpula","2016","3","24","00:00","1.1"
"Helsinki Kumpula","2016","3","25","00:00","0.3"
"Helsinki Kumpula","2016","3","26","00:00","1"
"Helsinki Kumpula","2016","3","27","00:00","145.9"
"Helsinki Kumpula","2016","3","28","00:00","221.9"
"Helsinki Kumpula","2016","3","29","00:00","288"
"Helsinki Kumpula","2016","3","30","00:00","6.7"
"Helsinki Kumpula","2016","3","31","00:00","126.4"
"Helsinki Kumpula","2016","4","1","00:00","43.3"
"Helsinki Kumpula","2016","4","2","00:00","384.4"
"Helsinki Kumpula","2016","4","3","00:00","1.6"
"Helsinki Kumpula","2016","4","4","00:00","278.8"
"Helsinki Kumpula","2016","4","5","00:00","0.9"
"Helsinki Kumpula","2016","4","6","00:00","64.1"
"Helsinki Kumpula","2016","4","7","00:00","59.1"
"Helsinki Kumpula","2016","4","8","00:00","201.3"
"Helsinki Kumpula","2016","4","9","00:00","1.6"
"Helsinki Kumpula","2016","4","10","00:00","308.6"
"Helsinki Kumpula","2016","4","11","00:00","391"
"Helsinki Kumpula","2016","4","12","00:00","381.8"
"Helsinki Kumpula","2016","4","13","00:00","398.9"
"Helsinki Kumpula","2016","4","14","00:00","370.7"
"Helsinki Kumpula","2016","4","15","00:00","179.2"
"Helsinki Kumpula","2016","4","16","00:00","341.3"
"Helsinki Kumpula","2016","4","17","00:00","6.5"
"Helsinki Kumpula","2016","4","18","00:00","40.8"
"Helsinki Kumpula","2016","4","19","00:00","182.7"
"Helsinki Kumpula","2016","4","20","00:00","77.1"
"Helsinki Kumpula","2016","4","21","00:00","295.3"
"Helsinki Kumpula","2016","4","22","00:00","51.1"
"Helsinki Kumpula","2016","4","23","00:00","71.7"
"Helsinki Kumpula","2016","4","24","00:00","90.4"
"Helsinki Kumpula","2016","4","25","00:00","181.4"
"Helsinki Kumpula","2016","4","26","00:00","1.4"
