"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2020","3","10","00:00","0.8"
"Helsinki Kumpula","2020","3","11","00:00","0.9"
"Helsinki Kumpula","2020","3","12","00:00","101.8"
"Helsinki Kumpula","2020","3","13","00:00","71.7"
"Helsinki Kumpula","2020","3","14","00:00","235.3"
"Helsinki Kumpula","2020","3","15","00:00","206.7"
"Helsinki Kumpula","2020","3","16","00:00","41.9"
"Helsinki Kumpula","2020","3","17","00:00","63.9"
"Helsinki Kumpula","2020","3","18","00:00","6.7"
"Helsinki Kumpula","2020","3","19","00:00","237.9"
"Helsinki Kumpula","2020","3","20","00:00","285.6"
"Helsinki Kumpula","2020","3","21","00:00","142.8"
"Helsinki Kumpula","2020","3","22","00:00","334.3"
"Helsinki Kumpula","2020","3","23","00:00","142.8"
"Helsinki Kumpula","2020","3","24","00:00","178.5"
"Helsinki Kumpula","2020","3","25","00:00","246"
"Helsinki Kumpula","2020","3","26","00:00","250.6"
"Helsinki Kumpula","2020","3","27","00:00","120.5"
"Helsinki Kumpula","2020","3","28","00:00","136.7"
"Helsinki Kumpula","2020","3","29","00:00","304.7"
"Helsinki Kumpula","2020","3","30","00:00","92.4"
"Helsinki Kumpula","2020","3","31","00:00","153.7"
"Helsinki Kumpula","2020","4","1","00:00","241.4"
"Helsinki Kumpula","2020","4","2","00:00","77.5"
"Helsinki Kumpula","2020","4","3","00:00","95.7"
"Helsinki Kumpula","2020","4","4","00:00","300.9"
"Helsinki Kumpula","2020","4","5","00:00","391.3"
"Helsinki Kumpula","2020","4","6","00:00","148.9"
"Helsinki Kumpula","2020","4","7","00:00","249.2"
"Helsinki Kumpula","2020","4","8","00:00","323.7"
"Helsinki Kumpula","2020","4","9","00:00","192.6"
"Helsinki Kumpula","2020","4","10","00:00","301.8"
"Helsinki Kumpula","2020","4","11","00:00","286"
"Helsinki Kumpula","2020","4","12","00:00","0.1"
"Helsinki Kumpula","2020","4","13","00:00","254.9"
"Helsinki Kumpula","2020","4","14","00:00","82.3"
"Helsinki Kumpula","2020","4","15","00:00","42.1"
"Helsinki Kumpula","2020","4","16","00:00","90.2"
"Helsinki Kumpula","2020","4","17","00:00","207.3"
"Helsinki Kumpula","2020","4","18","00:00","290.9"
"Helsinki Kumpula","2020","4","19","00:00","279.5"
"Helsinki Kumpula","2020","4","20","00:00","138.6"
"Helsinki Kumpula","2020","4","21","00:00","458.6"
"Helsinki Kumpula","2020","4","22","00:00","370.1"
"Helsinki Kumpula","2020","4","23","00:00","375.3"
"Helsinki Kumpula","2020","4","24","00:00","52.7"
"Helsinki Kumpula","2020","4","25","00:00","302.3"
"Helsinki Kumpula","2020","4","26","00:00","79.3"
"Helsinki Kumpula","2020","4","27","00:00","168.2"
"Helsinki Kumpula","2020","4","28","00:00","9.3"
"Helsinki Kumpula","2020","4","29","00:00","83.5"
"Helsinki Kumpula","2020","4","30","00:00","288"
"Helsinki Kumpula","2020","5","1","00:00","240.4"
"Helsinki Kumpula","2020","5","2","00:00","129"
"Helsinki Kumpula","2020","5","3","00:00","262.6"
"Helsinki Kumpula","2020","5","4","00:00","2"
"Helsinki Kumpula","2020","5","5","00:00","455.2"
"Helsinki Kumpula","2020","5","6","00:00","267.8"
"Helsinki Kumpula","2020","5","7","00:00","369.2"
"Helsinki Kumpula","2020","5","8","00:00","347.7"
"Helsinki Kumpula","2020","5","9","00:00","516.6"
