"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2022","3","10","00:00","147"
"Helsinki Kumpula","2022","3","11","00:00","92.5"
"Helsinki Kumpula","2022","3","12","00:00","294.8"
"Helsinki Kumpula","2022","3","13","00:00","220.1"
"Helsinki Kumpula","2022","3","14","00:00","347.9"
"Helsinki Kumpula","2022","3","15","00:00","290.9"
"Helsinki Kumpula","2022","3","16","00:00","342.4"
"Helsinki Kumpula","2022","3","17","00:00","336.8"
"Helsinki Kumpula","2022","3","18","00:00","190.9"
"Helsinki Kumpula","2022","3","19","00:00","256.7"
"Helsinki Kumpula","2022","3","20","00:00","356.8"
"Helsinki Kumpula","2022","3","21","00:00","365.8"
"Helsinki Kumpula","2022","3","22","00:00","286.8"
"Helsinki Kumpula","2022","3","23","00:00","164.3"
"Helsinki Kumpula","2022","3","24","00:00","94.5"
"Helsinki Kumpula","2022","3","25","00:00","14.8"
"Helsinki Kumpula","2022","3","26","00:00","37.8"
"Helsinki Kumpula","2022","3","27","00:00","164.8"
"Helsinki Kumpula","2022","3","28","00:00","90.5"
"Helsinki Kumpula","2022","3","29","00:00","148.1"
"Helsinki Kumpula","2022","3","30","00:00","100.4"
"Helsinki Kumpula","2022","3","31","00:00","184.7"
"Helsinki Kumpula","2022","4","1","00:00","274"
"Helsinki Kumpula","2022","4","2","00:00","310.6"
"Helsinki Kumpula","2022","4","3","00:00","313.9"
"Helsinki Kumpula","2022","4","4","00:00","1.1"
"Helsinki Kumpula","2022","4","5","00:00","0.1"
"Helsinki Kumpula","2022","4","6","00:00","154.3"
"Helsinki Kumpula","2022","4","7","00:00","0.5"
"Helsinki Kumpula","2022","4","8","00:00","14.1"
"Helsinki Kumpula","2022","4","9","00:00","197.8"
"Helsinki Kumpula","2022","4","10","00:00","95.9"
"Helsinki Kumpula","2022","4","11","00:00","422.1"
"Helsinki Kumpula","2022","4","12","00:00","243.3"
"Helsinki Kumpula","2022","4","13","00:00","318.9"
